Date,Team,Opponent,Location,Spread,Total (O/U),Moneyline,Score,MOV,ATS Margin,Combined,O/U Margin
2024-11-04,Florida A&M,TCU,Away,27.5,146.5,1558,59-105,-46,-18.5,164,17.5
2024-11-04,TCU,Florida A&M,Home,-27.5,146.5,-4423,105-59,46,18.5,164,17.5
2024-11-04,Incarnate Word,Cal Baptist,Away,11.5,144,510,78-83,-5,6.5,161,17
2024-11-04,Cal Baptist,Incarnate Word,Home,-11.5,144,-818,83-78,5,-6.5,161,17
2024-11-04,F Dickinson,Miami,Away,27.5,158,1701,72-113,-41,-13.5,185,27
2024-11-04,Miami,F Dickinson,Home,-27.5,158,-5139,113-72,41,13.5,185,27
2024-11-04,Charleston,S Illinois,Neutral,-4,146,-179,90-80,10,6,170,24
2024-11-04,S Illinois,Charleston,Neutral,4,146,151,80-90,-10,-6,170,24
2024-11-04,Missouri,Memphis,Away,3.5,154.5,150,75-83,-8,-4.5,158,3.5
2024-11-04,Memphis,Missouri,Home,-3.5,154.5,-170,83-75,8,4.5,158,3.5
2024-11-04,W Georgia,Mississippi St,Away,26,145.5,4000,60-95,-35,-9,155,9.5
2024-11-04,Mississippi St,W Georgia,Home,-26,145.5,-50000,95-60,35,9,155,9.5
2024-11-04,Alcorn St,Utah,Away,23.5,146.5,2200,59-100,-41,-17.5,159,12.5
2024-11-04,Utah,Alcorn St,Home,-23.5,146.5,-8000,100-59,41,17.5,159,12.5
2024-11-04,N Illinois,Georgia So,Away,9,146.5,322,65-80,-15,-6,145,-1.5
2024-11-04,Georgia So,N Illinois,Home,-9,146.5,-421,80-65,15,6,145,-1.5
2024-11-04,Kent St,Louisiana,Away,-2,144.5,-128,70-66,4,2,136,-8.5
2024-11-04,Louisiana,Kent St,Home,2,144.5,108,66-70,-4,-2,136,-8.5
2024-11-04,E Michigan,Texas St,Away,8.5,135.5,288,44-64,-20,-11.5,108,-27.5
2024-11-04,Texas St,E Michigan,Home,-8.5,135.5,-369,64-44,20,11.5,108,-27.5
2024-11-04,Buffalo,Old Dominion,Away,10.5,146.5,460,83-82,1,11.5,165,18.5
2024-11-04,Old Dominion,Buffalo,Home,-10.5,146.5,-600,82-83,-1,-11.5,165,18.5
2024-11-04,Bowling Green,Southern Miss,Away,4.5,146.5,157,68-77,-9,-4.5,145,-1.5
2024-11-04,Southern Miss,Bowling Green,Home,-4.5,146.5,-187,77-68,9,4.5,145,-1.5
2024-11-04,Ball St,Georgia St,Away,2.5,147.5,128,66-71,-5,-2.5,137,-10.5
2024-11-04,Georgia St,Ball St,Home,-2.5,147.5,-148,71-66,5,2.5,137,-10.5
2024-11-04,Toledo,Troy,Away,6,154.5,210,74-84,-10,-4,158,3.5
2024-11-04,Troy,Toledo,Home,-6,154.5,-258,84-74,10,4,158,3.5
2024-11-04,Bucknell,Delaware,Away,3,141.5,131,85-73,12,15,158,16.5
2024-11-04,Delaware,Bucknell,Home,-3,141.5,-160,73-85,-12,-15,158,16.5
2024-11-04,Northeastern,Boston U,Away,2.5,137.5,124,80-72,8,10.5,152,14.5
2024-11-04,Boston U,Northeastern,Home,-2.5,137.5,-148,72-80,-8,-10.5,152,14.5
2024-11-04,Columbia,Loyola MD,Away,-6.5,144.5,-258,81-78,3,-3.5,159,14.5
2024-11-04,Loyola MD,Columbia,Home,6.5,144.5,210,78-81,-3,3.5,159,14.5
2024-11-04,W Illinois,San Jose St,Away,10.5,135,387,59-55,4,14.5,114,-21
2024-11-04,San Jose St,W Illinois,Home,-10.5,135,-524,55-59,-4,-14.5,114,-21
2024-11-04,Nicholls,New Mexico,Away,17.5,151.5,1000,84-91,-7,10.5,175,23.5
2024-11-04,New Mexico,Nicholls,Home,-17.5,151.5,-2000,91-84,7,-10.5,175,23.5
2024-11-04,Sam Houston,Nevada,Away,10.5,144,395,75-91,-16,-5.5,166,22
2024-11-04,Nevada,Sam Houston,Home,-10.5,144,-500,91-75,16,5.5,166,22
2024-11-04,Southern,South Dakota,Away,2.5,143.5,124,79-93,-14,-11.5,172,28.5
2024-11-04,South Dakota,Southern,Home,-2.5,143.5,-148,93-79,14,11.5,172,28.5
2024-11-04,Saint Louis,Santa Clara,Neutral,2,157.5,114,78-85,-7,-5,163,5.5
2024-11-04,Santa Clara,Saint Louis,Neutral,-2,157.5,-134,85-78,7,5,163,5.5
2024-11-04,Denver,Stanford,Away,17,148,950,62-85,-23,-6,147,-1
2024-11-04,Stanford,Denver,Home,-17,148,-1800,85-62,23,6,147,-1
2024-11-04,Marist,Harvard,Away,3,132.5,136,66-79,-13,-10,145,12.5
2024-11-04,Harvard,Marist,Home,-3,132.5,-162,79-66,13,10,145,12.5
2024-11-04,Valparaiso,Liberty,Neutral,10.5,138.5,425,63-83,-20,-9.5,146,7.5
2024-11-04,Liberty,Valparaiso,Neutral,-10.5,138.5,-575,83-63,20,9.5,146,7.5
2024-11-04,Sacred Heart,Temple,Away,14,145,700,70-81,-11,3,151,6
2024-11-04,Temple,Sacred Heart,Home,-14,145,-1100,81-70,11,-3,151,6
2024-11-04,McNeese,S Dakota St,Neutral,-10.5,144.5,-575,73-80,-7,-17.5,153,8.5
2024-11-04,S Dakota St,McNeese,Neutral,10.5,144.5,425,80-73,7,17.5,153,8.5
2024-11-04,Texas A&M-CC,Purdue,Away,25,145.5,1584,73-90,-17,8,163,17.5
2024-11-04,Purdue,Texas A&M-CC,Home,-25,145.5,-4550,90-73,17,-8,163,17.5
2024-11-04,Fordham,St John's,Away,19,147,1163,60-92,-32,-13,152,5
2024-11-04,St John's,Fordham,Home,-19,147,-2255,92-60,32,13,152,5
2024-11-04,Miami OH,App State,Away,7,138.5,244,77-63,14,21,140,1.5
2024-11-04,App State,Miami OH,Home,-7,138.5,-304,63-77,-14,-21,140,1.5
2024-11-04,Missouri St,Butler,Away,17,140.5,904,65-72,-7,10,137,-3.5
2024-11-04,Butler,Missouri St,Home,-17,140.5,-1579,72-65,7,-10,137,-3.5
2024-11-04,N Florida,South Carolina,Away,19,140,1250,74-71,3,22,145,5
2024-11-04,South Carolina,N Florida,Home,-19,140,-3000,71-74,-3,-22,145,5
2024-11-04,Le Moyne,Syracuse,Away,22,151.5,1600,82-86,-4,18,168,16.5
2024-11-04,Syracuse,Le Moyne,Home,-22,151.5,-4000,86-82,4,-18,168,16.5
2024-11-04,Maine,Duke,Away,32.5,139.5,4000,62-96,-34,-1.5,158,18.5
2024-11-04,Duke,Maine,Home,-32.5,139.5,-50000,96-62,34,1.5,158,18.5
2024-11-04,Manhattan,Maryland,Away,26,131.5,1600,49-79,-30,-4,128,-3.5
2024-11-04,Maryland,Manhattan,Home,-26,131.5,-4000,79-49,30,4,128,-3.5
2024-11-04,Morehead St,Louisville,Away,22,149,1400,45-93,-48,-26,138,-11
2024-11-04,Louisville,Morehead St,Home,-22,149,-3200,93-45,48,26,138,-11
2024-11-04,Navy,Saint Joseph's,Away,16,141,900,63-70,-7,9,133,-8
2024-11-04,Saint Joseph's,Navy,Home,-16,141,-1600,70-63,7,-9,133,-8
2024-11-04,American,La Salle,Away,4.5,137,174,52-65,-13,-8.5,117,-20
2024-11-04,La Salle,American,Home,-4.5,137,-219,65-52,13,8.5,117,-20
2024-11-04,Iona,Princeton,Away,12.5,144.5,580,80-81,-1,11.5,161,16.5
2024-11-04,Princeton,Iona,Home,-12.5,144.5,-800,81-80,1,-11.5,161,16.5
2024-11-04,Charleston So,Clemson,Away,22,143,1600,64-91,-27,-5,155,12
2024-11-04,Clemson,Charleston So,Home,-22,143,-4000,91-64,27,5,155,12
2024-11-04,Robert Morris,West Virginia,Away,18.5,144,1062,59-87,-28,-9.5,146,2
2024-11-04,West Virginia,Robert Morris,Home,-18.5,144,-1979,87-59,28,9.5,146,2
2024-11-04,Gardner-Webb,Tennessee,Away,27.5,141.5,1507,64-80,-16,11.5,144,2.5
2024-11-04,Tennessee,Gardner-Webb,Home,-27.5,141.5,-4182,80-64,16,-11.5,144,2.5
2024-11-04,CS Northridge,St Bonaventure,Away,8,143.5,320,56-70,-14,-6,126,-17.5
