Date,Team,Opponent,Location,Spread,Total (O/U),Moneyline,Score,MOV,ATS Margin,Combined,O/U Margin
2018-11-06,Boston U,Northeastrn,Away,12.5,144.5,750,77-74,3,15.5,151,6.5
2018-11-06,Northeastrn,Boston U,Home,-12.5,144.5,-1250,74-77,-3,-15.5,151,6.5
2018-11-06,E Tenn St,Georgia St,Away,7,143.5,260,68-74,-6,1,142,-1.5
2018-11-06,Georgia St,E Tenn St,Home,-7,143.5,-320,74-68,6,-1,142,-1.5
2018-11-06,St Fran (PA),Buffalo,Away,15.5,160.5,,67-82,-15,0.5,149,-11.5
2018-11-06,Buffalo,St Fran (PA),Home,-15.5,160.5,,82-67,15,-0.5,149,-11.5
2018-11-06,Navy,Old Dominion,Away,14.5,129.5,900,44-67,-23,-8.5,111,-18.5
2018-11-06,Old Dominion,Navy,Home,-14.5,129.5,-1667,67-44,23,8.5,111,-18.5
2018-11-06,Chicago St,Indiana,Away,33.5,147.5,,55-104,-49,-15.5,159,11.5
2018-11-06,Indiana,Chicago St,Home,-33.5,147.5,,104-55,49,15.5,159,11.5
2018-11-06,Siena,Providence,Away,18.5,142.5,1340,67-77,-10,8.5,144,1.5
2018-11-06,Providence,Siena,Home,-18.5,142.5,-3126,77-67,10,-8.5,144,1.5
2018-11-06,Wagner,Seton Hall,Away,16,147.5,950,49-89,-40,-24,138,-9.5
2018-11-06,Seton Hall,Wagner,Home,-16,147.5,-1667,89-49,40,24,138,-9.5
2018-11-06,Loyola-MD,St Johns,Away,25.5,146.5,,55-76,-21,4.5,131,-15.5
2018-11-06,St Johns,Loyola-MD,Home,-25.5,146.5,,76-55,21,-4.5,131,-15.5
2018-11-06,Morgan St,Villanova,Away,38.5,150,5000,77-100,-23,15.5,177,27
2018-11-06,Villanova,Morgan St,Home,-38.5,150,-2147480064,100-77,23,-15.5,177,27
2018-11-06,N Carolina,Wofford,Away,-10.5,158.5,-609,78-67,11,0.5,145,-13.5
2018-11-06,Wofford,N Carolina,Home,10.5,158.5,453,67-78,-11,-0.5,145,-13.5
2018-11-06,Michigan St,Kansas,Neutral,4.5,155.5,183,87-92,-5,-0.5,179,23.5
2018-11-06,Kansas,Michigan St,Neutral,-4.5,155.5,-217,92-87,5,0.5,179,23.5
2018-11-06,Fairfield,Purdue,Away,19.5,148.5,2000,57-90,-33,-13.5,147,-1.5
2018-11-06,Purdue,Fairfield,Home,-19.5,148.5,-4000,90-57,33,13.5,147,-1.5
2018-11-06,WI-Milwkee,Boston Col,Away,16,147,988,53-73,-20,-4,126,-21
2018-11-06,Boston Col,WI-Milwkee,Home,-16,147.5,-1588,73-53,20,4,126,-21.5
2018-11-06,Citadel,Clemson,Away,28,170,8000,80-100,-20,8,180,10
2018-11-06,Clemson,Citadel,Home,-28,170,-21500,100-80,20,-8,180,10
2018-11-06,SC Upstate,S Carolina,Away,25.5,150.5,2000,52-65,-13,12.5,117,-33.5
2018-11-06,S Carolina,SC Upstate,Home,-25.5,150.5,-10000,65-52,13,-12.5,117,-33.5
2018-11-06,Youngs St,Pittsburgh,Away,13.5,153.5,775,53-69,-16,-2.5,122,-31.5
2018-11-06,Pittsburgh,Youngs St,Home,-13.5,153,-1100,69-53,16,2.5,122,-31
2018-11-06,IL-Chicago,Notre Dame,Away,11.5,146.5,562,67-84,-17,-5.5,151,4.5
2018-11-06,Notre Dame,IL-Chicago,Home,-11.5,146.5,-800,84-67,17,5.5,151,4.5
