Date,Team,Opponent,Location,Spread,Total (O/U),Moneyline,Score,MOV,ATS Margin,Combined,O/U Margin
2023-11-06,Georgia,Oregon,Neutral,6.5,141,220,71-82,-11,-4.5,153,12
2023-11-06,Oregon,Georgia,Neutral,-6.5,141,-275,82-71,11,4.5,153,12
2023-11-06,TN Tech,Tennessee,Away,32.5,134.5,2034,42-80,-38,-5.5,122,-12.5
2023-11-06,Tennessee,TN Tech,Home,-32.5,134.5,-5252,80-42,38,5.5,122,-12.5
2023-11-06,Samford,Purdue,Away,19.5,144,1518,45-98,-53,-33.5,143,-1
2023-11-06,Purdue,Samford,Home,-19.5,144,-3341,98-45,53,33.5,143,-1
2023-11-06,N Arizona,Connecticut,Away,26.5,141.5,1965,52-95,-43,-16.5,147,5.5
2023-11-06,Connecticut,N Arizona,Home,-26.5,141.5,-4974,95-52,43,16.5,147,5.5
2023-11-06,Monmouth,Geo Mason,Away,11,137.5,459,61-72,-11,0,133,-4.5
2023-11-06,Geo Mason,Monmouth,Home,-11,137.5,-648,72-61,11,0,133,-4.5
2023-11-06,Central Conn,Rhode Island,Away,10.5,134,413,70-81,-11,-0.5,151,17
2023-11-06,Rhode Island,Central Conn,Home,-10.5,134,-619,81-70,11,0.5,151,17
2023-11-06,Princeton,Rutgers,Neutral,5.5,135.5,194,68-61,7,12.5,129,-6.5
2023-11-06,Rutgers,Princeton,Neutral,-5.5,135.5,-235,61-68,-7,-12.5,129,-6.5
2023-11-06,Chicago St,Bowling Grn,Away,7,146.5,234,41-70,-29,-22,111,-35.5
2023-11-06,Bowling Grn,Chicago St,Home,-7,146.5,-307,70-41,29,22,111,-35.5
2023-11-06,Oakland,Ohio St,Away,19.5,144.5,1558,73-79,-6,13.5,152,7.5
2023-11-06,Ohio St,Oakland,Home,-19.5,144.5,-3473,79-73,6,-13.5,152,7.5
2023-11-06,Maine,Charlotte,Away,7.5,136.5,257,52-69,-17,-9.5,121,-15.5
2023-11-06,Charlotte,Maine,Home,-7.5,136.5,-344,69-52,17,9.5,121,-15.5
2023-11-06,NC A&T,Pittsburgh,Away,23.5,135,1515,52-100,-48,-24.5,152,17
2023-11-06,Pittsburgh,NC A&T,Home,-23.5,135,-3330,100-52,48,24.5,152,17
2023-11-06,Lafayette,St Josephs,Away,14,142.5,683,60-81,-21,-7,141,-1.5
2023-11-06,St Josephs,Lafayette,Home,-14,142.5,-1227,81-60,21,7,141,-1.5
2023-11-06,SIU Edward,Dayton,Away,17.5,134.5,1071,47-63,-16,1.5,110,-24.5
2023-11-06,Dayton,SIU Edward,Home,-17.5,134.5,-2005,63-47,16,-1.5,110,-24.5
2023-11-06,Tarleton St,Virginia,Away,17,123.5,1032,50-80,-30,-13,130,6.5
2023-11-06,Virginia,Tarleton St,Home,-17,123.5,-1903,80-50,30,13,130,6.5
2023-11-06,VMI,Richmond,Away,17.5,146.5,1100,75-93,-18,-0.5,168,21.5
2023-11-06,Richmond,VMI,Home,-17.5,146.5,-2084,93-75,18,0.5,168,21.5
2023-11-06,N Hampshire,Syracuse,Away,17.5,147.5,1076,72-83,-11,6.5,155,7.5
2023-11-06,Syracuse,N Hampshire,Home,-17.5,147.5,-2418,83-72,11,-6.5,155,7.5
2023-11-06,Winthrop,Clemson,Away,15,146.5,746,56-78,-22,-7,134,-12.5
2023-11-06,Clemson,Winthrop,Home,-15,146.5,-1391,78-56,22,7,134,-12.5
2023-11-06,Niagara,Notre Dame,Away,10,125.5,395,63-70,-7,3,133,7.5
2023-11-06,Notre Dame,Niagara,Home,-10,125.5,-500,70-63,7,-3,133,7.5
2023-11-06,Radford,N Carolina,Away,18.5,145,1305,70-86,-16,2.5,156,11
2023-11-06,N Carolina,Radford,Home,-18.5,145,-3293,86-70,16,-2.5,156,11
2023-11-06,Longwood,St Bonavent,Away,11.5,134.5,477,69-73,-4,7.5,142,7.5
2023-11-06,St Bonavent,Longwood,Home,-11.5,134.5,-747,73-69,4,-7.5,142,7.5
2023-11-06,Missouri St,W Virginia,Away,4,136.5,164,59-67,-8,-4,126,-10.5
2023-11-06,W Virginia,Missouri St,Home,-4,136.5,-196,67-59,8,4,126,-10.5
2023-11-06,Maryland BC,Louisville,Away,7.5,141.5,255,93-94,-1,6.5,187,45.5
2023-11-06,Louisville,Maryland BC,Home,-7.5,141.5,-339,94-93,1,-6.5,187,45.5
2023-11-06,McNeese St,VCU,Away,10.5,148.5,389,76-65,11,21.5,141,-7.5
2023-11-06,VCU,McNeese St,Home,-10.5,148.5,-573,65-76,-11,-21.5,141,-7.5
2023-11-06,Citadel,NC State,Away,21,145.5,1667,59-72,-13,8,131,-14.5
2023-11-06,NC State,Citadel,Home,-21,145.5,-3850,72-59,13,-8,131,-14.5
2023-11-06,Queens,Marshall,Away,5.5,159.5,198,73-89,-16,-10.5,162,2.5
2023-11-06,Marshall,Queens,Home,-5.5,159.5,-253,89-73,16,10.5,162,2.5
2023-11-06,N Dakota St,W Michigan,Away,-3.5,143.5,-165,80-76,4,0.5,156,12.5
2023-11-06,W Michigan,N Dakota St,Home,3.5,143.5,140,76-80,-4,-0.5,156,12.5
2023-11-06,Columbia,Providence,Away,19,144.5,1406,59-78,-19,0,137,-7.5
2023-11-06,Providence,Columbia,Home,-19,144.5,-2977,78-59,19,0,137,-7.5
2023-11-06,Detroit,Toledo,Away,15.5,153.5,900,60-94,-34,-18.5,154,0.5
2023-11-06,Toledo,Detroit,Home,-15.5,153.5,-1600,94-60,34,18.5,154,0.5
2023-11-06,Brown,Colgate,Away,6.5,149,215,70-72,-2,4.5,142,-7
2023-11-06,Colgate,Brown,Home,-6.5,149,-279,72-70,2,-4.5,142,-7
2023-11-06,Iona,Col Charlestn,Away,7,156.5,280,69-71,-2,5,140,-16.5
2023-11-06,Col Charlestn,Iona,Home,-7,156.5,-350,71-69,2,-5,140,-16.5
2023-11-06,NJIT,Miami,Away,24.5,144,1350,60-101,-41,-16.5,161,17
2023-11-06,Miami,NJIT,Home,-24.5,144,-3480,101-60,41,16.5,161,17
2023-11-06,Holy Cross,Siena,Away,6.5,135.5,223,71-73,-2,4.5,144,8.5
2023-11-06,Siena,Holy Cross,Home,-6.5,135.5,-289,73-71,2,-4.5,144,8.5
2023-11-06,Cleveland St,Duquesne,Away,10.5,141.5,430,77-79,-2,8.5,156,14.5
2023-11-06,Duquesne,Cleveland St,Home,-10.5,141.5,-550,79-77,2,-8.5,156,14.5
2023-11-06,Delaware,Bucknell,Away,-6,141.5,-278,78-57,21,15,135,-6.5
2023-11-06,Bucknell,Delaware,Home,6,141.5,215,57-78,-21,-15,135,-6.5
2023-11-06,Maryland ES,Temple,Away,14,132.5,680,65-85,-20,-6,150,17.5
2023-11-06,Temple,Maryland ES,Home,-14,132.5,-1219,85-65,20,6,150,17.5
2023-11-06,SC Upstate,S Carolina,Away,12,138.5,501,53-82,-29,-17,135,-3.5
2023-11-06,S Carolina,SC Upstate,Home,-12,138.5,-798,82-53,29,17,135,-3.5
2023-11-06,Delaware St,Penn St,Away,19.5,136.5,1400,45-79,-34,-14.5,124,-12.5
2023-11-06,Penn St,Delaware St,Home,-19.5,136.5,-5000,79-45,34,14.5,124,-12.5
2023-11-06,Hampton,Howard,Away,7,146.5,239,80-92,-12,-5,172,25.5
2023-11-06,Howard,Hampton,Home,-7,146.5,-315,92-80,12,5,172,25.5
2023-11-06,Cornell,Lehigh,Away,-6.5,153.5,-292,84-78,6,-0.5,162,8.5
2023-11-06,Lehigh,Cornell,Home,6.5,153.5,224,78-84,-6,0.5,162,8.5
2023-11-06,Manhattan,Bryant,Away,12,144.5,500,61-59,2,14,120,-24.5
2023-11-06,Bryant,Manhattan,Home,-12,144.5,-700,59-61,-2,-14,120,-24.5
2023-11-06,GA Southern,GA Tech,Away,10.5,144.5,460,62-84,-22,-11.5,146,1.5
2023-11-06,GA Tech,GA Southern,Home,-10.5,144.5,-600,84-62,22,11.5,146,1.5
2023-11-06,Georgia St,Belmont,Away,7,146.5,250,87-89,-2,5,176,29.5
2023-11-06,Belmont,Georgia St,Home,-7,146.5,-300,89-87,2,-5,176,29.5
2023-11-06,Merrimack,Vermont,Away,15,128.5,771,55-67,-12,3,122,-6.5
2023-11-06,Vermont,Merrimack,Home,-15,128.5,-1460,67-55,12,-3,122,-6.5
2023-11-06,American,Villanova,Away,23,134.5,1436,63-90,-27,-4,153,18.5
2023-11-06,Villanova,American,Home,-23,134.5,-3854,90-63,27,4,153,18.5
2023-11-06,Lipscomb,Wichita St,Away,9.5,142.5,340,59-76,-17,-7.5,135,-7.5
2023-11-06,Wichita St,Lipscomb,Home,-9.5,142.5,-482,76-59,17,7.5,135,-7.5
2023-11-06,F Dickinson,Buffalo,Away,6,143.5,198,92-86,6,12,178,34.5
2023-11-06,Buffalo,F Dickinson,Home,-6,143.5,-254,86-92,-6,-12,178,34.5
2023-11-06,Towson,Colorado,Away,14.5,139.5,850,57-75,-18,-3.5,132,-7.5
2023-11-06,Colorado,Towson,Home,-14.5,139.5,-1450,75-57,18,3.5,132,-7.5
2023-11-06,St Peters,Seton Hall,Away,17,126.5,1154,59-70,-11,6,129,2.5
2023-11-06,Seton Hall,St Peters,Home,-17,126.5,-2232,70-59,11,-6,129,2.5
2023-11-06,Wagner,Fordham,Away,10.5,129.5,420,64-68,-4,6.5,132,2.5
2023-11-06,Fordham,Wagner,Home,-10.5,129.5,-632,68-64,4,-6.5,132,2.5
2023-11-06,Bradley,UAB,Away,4.5,140.5,169,73-71,2,6.5,144,3.5
2023-11-06,UAB,Bradley,Home,-4.5,140.5,-203,71-73,-2,-6.5,144,3.5
2023-11-06,Miami (OH),Evansville,Away,-2.5,142.5,-145,64-72,-8,-10.5,136,-6.5
2023-11-06,Evansville,Miami (OH),Home,2.5,142.5,125,72-64,8,10.5,136,-6.5
2023-11-06,Elon,Wake Forest,Away,19.5,142,1558,78-101,-23,-3.5,179,37
2023-11-06,Wake Forest,Elon,Home,-19.5,142,-3476,101-78,23,3.5,179,37
2023-11-06,Loyola-MD,Florida,Away,24.5,142.5,1653,73-93,-20,4.5,166,23.5
2023-11-06,Florida,Loyola-MD,Home,-24.5,142.5,-4895,93-73,20,-4.5,166,23.5
2023-11-06,Sam Hous St,Pacific,Away,-1,139.5,-110,64-57,7,6,121,-18.5
2023-11-06,Pacific,Sam Hous St,Home,1,139.5,-110,57-64,-7,-6,121,-18.5
2023-11-06,E Illinois,Illinois,Away,29.5,143.5,2170,52-80,-28,1.5,132,-11.5
2023-11-06,Illinois,E Illinois,Home,-29.5,143.5,-4419,80-52,28,-1.5,132,-11.5
2023-11-06,Arkansas St,Wisconsin,Away,14,140.5,773,76-105,-29,-15,181,40.5
2023-11-06,Wisconsin,Arkansas St,Home,-14,140.5,-1275,105-76,29,15,181,40.5
2023-11-06,Miss Val St,LSU,Away,28.5,136.5,1668,60-106,-46,-17.5,166,29.5
2023-11-06,LSU,Miss Val St,Home,-28.5,136.5,-4970,106-60,46,17.5,166,29.5
2023-11-06,Rob Morris,Xavier,Away,16.5,142.5,981,63-77,-14,2.5,140,-2.5
2023-11-06,Xavier,Rob Morris,Home,-16.5,142.5,-1772,77-63,14,-2.5,140,-2.5
2023-11-06,Lindenwood,Nebraska,Away,22,144.5,1729,52-84,-32,-10,136,-8.5
2023-11-06,Nebraska,Lindenwood,Home,-22,144.5,-4073,84-52,32,10,136,-8.5
2023-11-06,NC Central,Kansas,Away,30.5,139.5,1954,56-99,-43,-12.5,155,15.5
2023-11-06,Kansas,NC Central,Home,-30.5,139.5,-3812,99-56,43,12.5,155,15.5
2023-11-06,WI-Grn Bay,Iowa St,Away,28.5,131.5,1956,44-85,-41,-12.5,129,-2.5
2023-11-06,Iowa St,WI-Grn Bay,Home,-28.5,131.5,-4937,85-44,41,12.5,129,-2.5
2023-11-06,UL Monroe,Houston,Away,30.5,135,2283,31-84,-53,-22.5,115,-20
2023-11-06,Houston,UL Monroe,Home,-30.5,135,-4749,84-31,53,22.5,115,-20
2023-11-06,Fairfield,Boston Col,Away,14,130,750,70-89,-19,-5,159,29
2023-11-06,Boston Col,Fairfield,Home,-14,130,-1200,89-70,19,5,159,29
2023-11-06,TX A&M-Com,Texas A&M,Away,21.5,140,1357,46-78,-32,-10.5,124,-16
2023-11-06,Texas A&M,TX A&M-Com,Home,-21.5,140,-3509,78-46,32,10.5,124,-16
2023-11-06,Florida Intl,UCF,Away,10,138.5,405,62-85,-23,-13,147,8.5
2023-11-06,UCF,Florida Intl,Home,-10,138.5,-556,85-62,23,13,147,8.5
2023-11-06,Central Ark,Tulsa,Away,13,148,562,53-70,-17,-4,123,-25
2023-11-06,Tulsa,Central Ark,Home,-13,148,-932,70-53,17,4,123,-25
2023-11-06,Coppin St,VA Tech,Away,28,139,2054,55-100,-45,-17,155,16
2023-11-06,VA Tech,Coppin St,Home,-28,139,-4091,100-55,45,17,155,16
2023-11-06,Binghamton,Northwestern,Away,17.5,136,1014,61-72,-11,6.5,133,-3
2023-11-06,Northwestern,Binghamton,Home,-17.5,136,-2206,72-61,11,-6.5,133,-3
2023-11-06,Beth-Cook,Minnesota,Away,17,140.5,1100,60-80,-20,-3,140,-0.5
2023-11-06,Minnesota,Beth-Cook,Home,-17,140.5,-2500,80-60,20,3,140,-0.5
2023-11-06,Central Mich,Oklahoma,Away,21.5,136,1500,59-89,-30,-8.5,148,12
2023-11-06,Oklahoma,Central Mich,Home,-21.5,136,-4500,89-59,30,8.5,148,12
2023-11-06,Jackson St,Memphis,Away,21.5,147.5,1800,77-94,-17,4.5,171,23.5
2023-11-06,Memphis,Jackson St,Home,-21.5,147.5,-10000,94-77,17,-4.5,171,23.5
2023-11-06,Incar Word,Texas,Away,31,142.5,10000,56-88,-32,-1,144,1.5
2023-11-06,Texas,Incar Word,Home,-31,142.5,-99995,88-56,32,1,144,1.5
2023-11-06,Marist,Army,Away,-1,133.5,-119,71-55,16,15,126,-7.5
