Date,Team,Opponent,Location,Spread,Total (O/U),Moneyline,Score,MOV,ATS Margin,Combined,O/U Margin
2020-11-25,E Tenn St,Abl Christian,Neutral,7,142,245,47-70,-23,-16,117,-25
2020-11-25,Abl Christian,E Tenn St,Neutral,-7,142,-290,70-47,23,16,117,-25
2020-11-25,Fairfield,Providence,Away,18,126,1223,56-97,-41,-23,153,27
2020-11-25,Providence,Fairfield,Home,-18,126,-2595,97-56,41,23,153,27
2020-11-25,Georgia St,GA Tech,Away,8.5,147,315,123-120,3,11.5,243,96
2020-11-25,GA Tech,Georgia St,Home,-8.5,147,-380,120-123,-3,-11.5,243,96
2020-11-25,Ark Pine Bl,Marquette,Away,30,137.5,3300,57-99,-42,-12,156,18.5
2020-11-25,Marquette,Ark Pine Bl,Home,-30,137.5,100,99-57,42,12,156,18.5
2020-11-25,Houston Bap,TX Christian,Away,30,155.5,2016,45-69,-24,6,114,-41.5
2020-11-25,TX Christian,Houston Bap,Home,-30,155.5,-11269,69-45,24,-6,114,-41.5
2020-11-25,Col Charlestn,N Carolina,Away,17.5,145.5,1250,60-79,-19,-1.5,139,-6.5
2020-11-25,N Carolina,Col Charlestn,Home,-17.5,145.5,-2000,79-60,19,1.5,139,-6.5
2020-11-25,Alcorn St,UAB,Away,19,146.5,1057,50-99,-49,-30,149,2.5
2020-11-25,UAB,Alcorn St,Home,-19,146.5,-1985,99-50,49,30,149,2.5
2020-11-25,TX-Pan Am,Texas,Away,21,137.5,1355,55-91,-36,-15,146,8.5
2020-11-25,Texas,TX-Pan Am,Home,-21,137.5,-3204,91-55,36,15,146,8.5
2020-11-25,Sacred Hrt,Rutgers,Away,27,137.5,2171,63-86,-23,4,149,11.5
2020-11-25,Rutgers,Sacred Hrt,Home,-27,137.5,-17853,86-63,23,-4,149,11.5
2020-11-25,NW State,Texas Tech,Away,26.5,145.5,2035,58-101,-43,-16.5,159,13.5
2020-11-25,Texas Tech,NW State,Home,-26.5,145.5,-11851,101-58,43,16.5,159,13.5
2020-11-25,Radford,VA Tech,Away,19,128,1276,62-77,-15,4,139,11
2020-11-25,VA Tech,Radford,Home,-19,128,-2822,77-62,15,-4,139,11
2020-11-25,Old Dominion,Maryland,Away,9.5,124,380,67-85,-18,-8.5,152,28
2020-11-25,Maryland,Old Dominion,Home,-9.5,124,-475,85-67,18,8.5,152,28
2020-11-25,E Illinois,Wisconsin,Away,21.5,134.5,1500,67-77,-10,11.5,144,9.5
2020-11-25,Wisconsin,E Illinois,Home,-21.5,134.5,-4000,77-67,10,-11.5,144,9.5
2020-11-25,TN Tech,Indiana,Away,25.5,141.5,1800,59-89,-30,-4.5,148,6.5
2020-11-25,Indiana,TN Tech,Home,-25.5,141.5,-5250,89-59,30,4.5,148,6.5
2020-11-25,Oral Roberts,Missouri,Away,14.5,149.5,800,64-91,-27,-12.5,155,5.5
2020-11-25,Missouri,Oral Roberts,Home,-14.5,149.5,-1250,91-64,27,12.5,155,5.5
2020-11-25,Miss Val St,Arkansas,Away,37,160.5,3300,62-142,-80,-43,204,43.5
2020-11-25,Arkansas,Miss Val St,Home,-37,160.5,100,142-62,80,43,204,43.5
2020-11-25,Jksnville St,Alabama,Away,21,152,1750,57-81,-24,-3,138,-14
2020-11-25,Alabama,Jksnville St,Home,-21,152,-3500,81-57,24,3,138,-14
2020-11-25,Toledo,Bradley,Neutral,2.5,142,125,59-61,-2,0.5,120,-22
2020-11-25,Bradley,Toledo,Neutral,-2.5,142,-145,61-59,2,-0.5,120,-22
2020-11-25,Mt St Marys,Morgan St,Away,-10,150.5,-426,62-55,7,-3,117,-33.5
2020-11-25,Morgan St,Mt St Marys,Home,10,150.5,337,55-62,-7,3,117,-33.5
2020-11-25,Oakland,Xavier,Away,15,144,890,49-101,-52,-37,150,6
2020-11-25,Xavier,Oakland,Home,-15,144,-1499,101-49,52,37,150,6
2020-11-25,Cal Baptist,USC,Away,19,142,1243,87-95,-8,11,182,40
2020-11-25,USC,Cal Baptist,Home,-19,142,-2800,95-87,8,-11,182,40
2020-11-25,IL-Chicago,N Illinois,Away,1.5,129,110,65-61,4,5.5,126,-3
2020-11-25,N Illinois,IL-Chicago,Home,-1.5,129,-130,61-65,-4,-5.5,126,-3
2020-11-25,W Michigan,Butler,Away,18.5,124,1194,62-66,-4,14.5,128,4
2020-11-25,Butler,W Michigan,Home,-18.5,124,-2476,66-62,4,-14.5,128,4
2020-11-25,App State,S Car State,Away,-16.5,138.5,-1747,81-61,20,3.5,142,3.5
2020-11-25,S Car State,App State,Home,16.5,138.5,980,61-81,-20,-3.5,142,3.5
2020-11-25,Geo Wshgtn,Navy,Away,1.5,127.5,-105,71-78,-7,-5.5,149,21.5
2020-11-25,Navy,Geo Wshgtn,Home,-1.5,127.5,-111,78-71,7,5.5,149,21.5
2020-11-25,UC Irvine,Pepperdine,Neutral,3,143.5,130,72-86,-14,-11,158,14.5
2020-11-25,Pepperdine,UC Irvine,Neutral,-3,143.5,-150,86-72,14,11,158,14.5
2020-11-25,High Point,Davidson,Away,19,136,1367,73-82,-9,10,155,19
2020-11-25,Davidson,High Point,Home,-19,136,-3265,82-73,9,-10,155,19
2020-11-25,Delaware St,Wake Forest,Away,23.5,150,2003,51-111,-60,-36.5,162,12
2020-11-25,Wake Forest,Delaware St,Home,-23.5,150,-10889,111-51,60,36.5,162,12
2020-11-25,Sam Hous St,S Methodist,Away,17,140.5,1162,67-97,-30,-13,164,23.5
2020-11-25,S Methodist,Sam Hous St,Home,-17,140.5,-2351,97-67,30,13,164,23.5
2020-11-25,SE Louisiana,IPFW,Away,10.5,146.5,411,63-67,-4,6.5,130,-16.5
2020-11-25,IPFW,SE Louisiana,Home,-10.5,146.5,-535,67-63,4,-6.5,130,-16.5
2020-11-25,Lamar,Houston,Away,21.5,136.5,1507,45-89,-44,-22.5,134,-2.5
2020-11-25,Houston,Lamar,Home,-21.5,136.5,-4110,89-45,44,22.5,134,-2.5
2020-11-25,Drake,Kansas St,Away,4.5,133.5,165,80-70,10,14.5,150,16.5
2020-11-25,Kansas St,Drake,Home,-4.5,133.5,-190,70-80,-10,-14.5,150,16.5
2020-11-25,Maryland BC,Georgetown,Away,12.5,142,584,62-70,-8,4.5,132,-10
2020-11-25,Georgetown,Maryland BC,Home,-12.5,142,-829,70-62,8,-4.5,132,-10
2020-11-25,Oklahoma St,TX-Arlington,Away,-10.5,144,-550,75-68,7,-3.5,143,-1
2020-11-25,TX-Arlington,Oklahoma St,Home,10.5,144,425,68-75,-7,3.5,143,-1
2020-11-25,Memphis,St Marys,Neutral,-5,131.5,-225,73-56,17,12,129,-2.5
2020-11-25,St Marys,Memphis,Neutral,5,131.5,195,56-73,-17,-12,129,-2.5
2020-11-25,Idaho St,Santa Clara,Away,11.5,144.5,550,49-62,-13,-1.5,111,-33.5
2020-11-25,Santa Clara,Idaho St,Home,-11.5,144.5,-800,62-49,13,1.5,111,-33.5
2020-11-25,Austin Peay,Neb Omaha,Neutral,-6.5,150.5,-290,72-66,6,-0.5,138,-12.5
2020-11-25,Neb Omaha,Austin Peay,Neutral,6.5,150.5,245,66-72,-6,0.5,138,-12.5
2020-11-25,UC Riverside,Pacific,Away,6,123.5,224,60-66,-6,0,126,2.5
2020-11-25,Pacific,UC Riverside,Home,-6,123.5,-270,66-60,6,0,126,2.5
2020-11-25,Morehead St,Kentucky,Away,25,137,1730,45-81,-36,-11,126,-11
2020-11-25,Kentucky,Morehead St,Home,-25,137,-6084,81-45,36,11,126,-11
2020-11-25,Liberty,Purdue,Neutral,9.5,124.5,390,64-77,-13,-3.5,141,16.5
2020-11-25,Purdue,Liberty,Neutral,-9.5,124.5,-480,77-64,13,3.5,141,16.5
2020-11-25,Fla Atlantic,S Alabama,Away,4.5,138.5,170,66-68,-2,2.5,134,-4.5
2020-11-25,S Alabama,Fla Atlantic,Home,-4.5,138.5,-195,68-66,2,-2.5,134,-4.5
2020-11-25,St Fran (PA),Pittsburgh,Away,16,137,1006,80-70,10,26,150,13
2020-11-25,Pittsburgh,St Fran (PA),Home,-16,137,-1825,70-80,-10,-26,150,13
2020-11-25,Villanova,Boston Col,Neutral,-14,145,-1400,76-67,9,-5,143,-2
2020-11-25,Boston Col,Villanova,Neutral,14,145,985,67-76,-9,5,143,-2
2020-11-25,Florida A&M,Fla Gulf Cst,Away,6,131.5,208,56-65,-9,-3,121,-10.5
2020-11-25,Fla Gulf Cst,Florida A&M,Home,-6,131.5,-249,65-56,9,3,121,-10.5
2020-11-25,Clemson,Miss State,Neutral,-4.5,131,-200,53-42,11,6.5,95,-36
2020-11-25,Miss State,Clemson,Neutral,4.5,131,170,42-53,-11,-6.5,95,-36
2020-11-25,S Utah,Loyola Mymt,Away,5,144,175,83-85,-2,3,168,24
2020-11-25,Loyola Mymt,S Utah,Home,-5,144,-210,85-83,2,-3,168,24
2020-11-26,Toledo,Oakland,Neutral,-10.5,146,-505,80-53,27,16.5,133,-13
2020-11-26,Oakland,Toledo,Neutral,10.5,146,400,53-80,-27,-16.5,133,-13
2020-11-26,Bradley,Xavier,Away,10,140,425,50-51,-1,9,101,-39
2020-11-26,Xavier,Bradley,Home,-10,140,-550,51-50,1,-9,101,-39
2020-11-26,La Salle,St Johns,Away,8,143.5,335,65-82,-17,-9,147,3.5
2020-11-26,St Johns,La Salle,Home,-8,143.5,-415,82-65,17,9,147,3.5
2020-11-26,Auburn,St Josephs,Neutral,-7,155.5,-330,96-91,5,-2,187,31.5
2020-11-26,St Josephs,Auburn,Neutral,7,155.5,275,91-96,-5,2,187,31.5
2020-11-26,Kansas,Gonzaga,Neutral,4,154,160,90-102,-12,-8,192,38
2020-11-26,Gonzaga,Kansas,Neutral,-4,154,-185,102-90,12,8,192,38
2020-11-27,Gonzaga,Auburn,Neutral,-18,169,-2653,90-67,23,5,157,-12
2020-11-27,Auburn,Gonzaga,Neutral,18,169,1237,67-90,-23,-5,157,-12
2020-11-27,Mercer,GA Tech,Away,12,139.5,643,83-73,10,22,156,16.5
2020-11-27,GA Tech,Mercer,Home,-12,139.5,-941,73-83,-10,-22,156,16.5
2020-11-27,TX-Arlington,LA Tech,Away,6.5,143.5,235,71-76,-5,1.5,147,3.5
2020-11-27,LA Tech,TX-Arlington,Home,-6.5,143.5,-275,76-71,5,-1.5,147,3.5
2020-11-27,E Illinois,Marquette,Away,14.5,150.5,823,50-75,-25,-10.5,125,-25.5
2020-11-27,Marquette,E Illinois,Home,-14.5,150.5,-1332,75-50,25,10.5,125,-25.5
2020-11-27,Fla Atlantic,Jksnville St,Neutral,-2.5,135,-153,50-60,-10,-12.5,110,-25
2020-11-27,Jksnville St,Fla Atlantic,Neutral,2.5,135,133,60-50,10,12.5,110,-25
2020-11-27,Norfolk St,James Mad,Away,4.5,141.5,153,83-73,10,14.5,156,14.5
2020-11-27,James Mad,Norfolk St,Home,-4.5,141.5,-181,73-83,-10,-14.5,156,14.5
2020-11-27,Bradley,Oakland,Neutral,-15.5,132,-1600,74-60,14,-1.5,134,2
2020-11-27,Oakland,Bradley,Neutral,15.5,132,912,60-74,-14,1.5,134,2
2020-11-27,Toledo,Xavier,Away,9,135,367,73-76,-3,6,149,14
2020-11-27,Xavier,Toledo,Home,-9,135,-475,76-73,3,-6,149,14
2020-11-27,UCLA,Pepperdine,Neutral,-7,147.5,-290,107-98,9,2,205,57.5
2020-11-27,Pepperdine,UCLA,Neutral,7,147.5,245,98-107,-9,-2,205,57.5
2020-11-27,Longwood,Wake Forest,Away,20.5,141.5,1636,60-71,-11,9.5,131,-10.5
2020-11-27,Wake Forest,Longwood,Home,-20.5,141.5,-5124,71-60,11,-9.5,131,-10.5
2020-11-27,Troy,W Carolina,Neutral,9,160.5,335,66-64,2,11,130,-30.5
2020-11-27,W Carolina,Troy,Neutral,-9,160.5,-420,64-66,-2,-11,130,-30.5
2020-11-27,Sam Hous St,Texas Tech,Away,27.5,146,1961,52-84,-32,-4.5,136,-10
2020-11-27,Texas Tech,Sam Hous St,Home,-27.5,146,-9846,84-52,32,4.5,136,-10
2020-11-27,Kansas,St Josephs,Neutral,-20,152.5,-5000,94-72,22,2,166,13.5
2020-11-27,St Josephs,Kansas,Neutral,20,152.5,1550,72-94,-22,-2,166,13.5
2020-11-27,NC-Wilmgton,NC-Asheville,Away,6,164.5,207,76-68,8,14,144,-20.5
2020-11-27,NC-Asheville,NC-Wilmgton,Home,-6,164.5,-248,68-76,-8,-14,144,-20.5
2020-11-27,Seton Hall,Louisville,Away,5.5,136,200,70-71,-1,4.5,141,5
2020-11-27,Louisville,Seton Hall,Home,-5.5,136,-240,71-70,1,-4.5,141,5
2020-11-27,Nicholls,Idaho St,Neutral,-7.5,153,-327,70-51,19,11.5,121,-32
2020-11-27,Idaho St,Nicholls,Neutral,7.5,153,266,51-70,-19,-11.5,121,-32
2020-11-27,Colorado,Kansas St,Away,-5,136,-205,76-58,18,13,134,-2
2020-11-27,Kansas St,Colorado,Home,5,136,175,58-76,-18,-13,134,-2
2020-11-27,Richmond,Morehead St,Neutral,-20.5,139,-1636,82-64,18,-2.5,146,7
2020-11-27,Morehead St,Richmond,Neutral,20.5,139,1115,64-82,-18,2.5,146,7
2020-11-28,Navy,Mt St Marys,Neutral,-2,131,-127,73-67,6,4,140,9
2020-11-28,Mt St Marys,Navy,Neutral,2,131,109,67-73,-6,-4,140,9
2020-11-28,Norfolk St,Radford,Neutral,-3,135,-160,57-54,3,0,111,-24
2020-11-28,Radford,Norfolk St,Neutral,3,135,136,54-57,-3,0,111,-24
2020-11-28,North Texas,Arkansas,Away,8,141.5,297,54-69,-15,-7,123,-18.5
2020-11-28,Arkansas,North Texas,Home,-8,141.5,-369,69-54,15,7,123,-18.5
2020-11-28,Texas St,TX A&M-CC,Away,-7,135.5,-302,75-63,12,5,138,2.5
2020-11-28,TX A&M-CC,Texas St,Home,7,135.5,248,63-75,-12,-5,138,2.5
2020-11-28,SE Louisiana,UAB,Away,19,147,1425,59-84,-25,-6,143,-4
2020-11-28,UAB,SE Louisiana,Home,-19,147,-3589,84-59,25,6,143,-4
2020-11-28,Wm & Mary,Old Dominion,Away,13,136,673,78-86,-8,5,164,28
2020-11-28,Old Dominion,Wm & Mary,Home,-13,136,-999,86-78,8,-5,164,28
