Date,Team,Opponent,Location,Spread,Total (O/U),Moneyline,Score,MOV,ATS Margin,Combined,O/U Margin
11/7/22,Miss Val St,Baylor,Away,45,144,3499,53-117,-64,-19,170,26
11/7/22,Lindenwood,Dayton,Away,31.5,137,1703,46-73,-27,4.5,119,-18
11/7/22,CS Fullerton,San Diego St,Away,23,136,1374,57-80,-23,0,137,1
11/7/22,Pacific,Stanford,Away,15,140,870,78-88,-10,5,166,26
11/7/22,Coppin St,Charlotte,Away,10.5,141,462,59-82,-23,-12.5,141,0
11/7/22,New Orleans,Butler,Away,18.5,142,1076,53-89,-36,-17.5,142,0
11/7/22,La Salle,Villanova,Away,15.5,137,842,68-81,-13,2.5,149,12
11/7/22,IPFW,Michigan,Away,16,150,868,56-75,-19,-3,131,-19
11/7/22,Howard,Kentucky,Away,25,148.5,1355,63-95,-32,-7,158,9.5
11/7/22,Merrimack,St Johns,Away,20.5,139.5,1126,72-97,-25,-4.5,169,29.5
11/7/22,St Fran (PA),St Bonavent,Away,12,139,531,58-71,-13,-1,129,-10
11/7/22,Air Force,Bowling Grn,Away,3.5,135,150,58-62,-4,-0.5,120,-15
11/7/22,Marshall,Queens,Away,-5.5,167,-188,82-83,-1,-6.5,165,-2
11/7/22,Brown,Vermont,Away,12.5,140,555,65-80,-15,-2.5,145,5
11/7/22,Navy,Wm & Mary,Away,-2,134,-129,74-59,15,13,133,-1
11/7/22,Quinnipiac,Rhode Island,Away,9.5,139.5,345,67-62,5,14.5,129,-10.5
11/7/22,Manhattan,VCU,Away,22.5,133.5,1383,56-73,-17,5.5,129,-4.5
11/7/22,U Penn,Iona,Away,6,148,225,50-78,-28,-22,128,-20
11/7/22,Maryland ES,Old Dominion,Away,11,128.5,469,65-84,-19,-8,149,20.5
11/7/22,Albany,Towson,Away,16.5,132.5,872,62-67,-5,11.5,129,-3.5
11/7/22,Hsn Christian,Florida Intl,Away,13,158,522,66-77,-11,2,143,-15
11/7/22,Wagner,Temple,Away,16,132,882,76-73,3,19,149,17
11/7/22,Kent St,N Kentucky,Away,1,137.5,-105,79-57,22,23,136,-1.5
11/7/22,Niagara,Maryland,Away,17,136.5,940,49-71,-22,-5,120,-16.5
11/7/22,Beth-Cook,Iowa,Away,28.5,151.5,1772,58-89,-31,-2.5,147,-4.5
11/7/22,Morehead St,Indiana,Away,24.5,138.5,1489,53-88,-35,-10.5,141,2.5
11/7/22,Columbia,Rutgers,Away,19,138,960,35-75,-40,-21,110,-28
11/7/22,Winthrop,Penn St,Away,13,142.5,567,68-93,-25,-12,161,18.5
11/7/22,Rob Morris,Ohio St,Away,20.5,139.5,1221,53-91,-38,-17.5,144,4.5
11/7/22,Tarleton St,Arizona St,Away,14,130,825,59-62,-3,11,121,-9
11/7/22,Mt St Marys,W Virginia,Away,17,130,916,58-76,-18,-1,134,4
11/7/22,TN Tech,Tennessee,Away,35,142.5,2220,43-75,-32,3,118,-24.5
11/7/22,TN Martin,Pittsburgh,Away,8.5,141,340,58-80,-22,-13.5,138,-3
11/7/22,Citadel,Clemson,Away,18,137,999,69-80,-11,7,149,12
11/7/22,Stetson,Florida St,Away,18,141,933,83-74,9,27,157,16
11/7/22,Jacksonville,Duke,Away,14.5,137.5,773,44-71,-27,-12.5,115,-22.5
11/7/22,N Arizona,Michigan St,Away,21,144,1217,55-73,-18,3,128,-16
11/7/22,VMI,Richmond,Away,22.5,142.5,1367,48-69,-21,1.5,117,-25.5
11/7/22,S Dakota St,Akron,Away,3.5,145.5,150,80-81,-1,2.5,161,15.5
11/7/22,Valparaiso,Toledo,Away,13,144,700,70-85,-15,-2,155,11
11/7/22,Colgate,Buffalo,Away,-2.5,152,-140,87-88,-1,-3.5,175,23
11/7/22,Siena,Holy Cross,Away,-1,135,-117,75-68,7,6,143,8
11/7/22,NJIT,St Peters,Away,8.5,129.5,291,59-73,-14,-5.5,132,2.5
11/7/22,Lafayette,Miami,Away,26.5,142.5,1636,54-67,-13,13.5,121,-21.5
11/7/22,TX A&M-CC,Miss State,Away,15,141.5,790,44-63,-19,-4,107,-34.5
11/7/22,Ohio,Belmont,Away,6,144.5,215,69-70,-1,5,139,-5.5
