Team,Conference,Gtm,Date,Location,Opp,Type,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
duke,ACC,1,11/6/23,,Dartmouth,REG (Non-Conf),W,92,54,,38,59,0.644,7,17,0.412,31,42,0.738,0.703,9,12,0.75,5,26,31,18,6,6,9,18,19,56,0.339,4,18,0.222,15,38,0.395,0.375,12,17,0.706,8,18,26,11,5,1,12,16
duke,ACC,2,11/10/23,,Arizona,REG (Non-Conf),L,73,78,,28,65,0.431,8,23,0.348,20,42,0.476,0.492,9,12,0.75,5,22,27,14,9,3,11,17,30,65,0.462,6,17,0.353,24,48,0.5,0.508,12,18,0.667,12,29,41,17,8,5,17,17
duke,ACC,3,11/14/23,N,Michigan State,REG (Non-Conf),W,74,65,,22,49,0.449,6,22,0.273,16,27,0.593,0.51,24,30,0.8,8,25,33,17,6,5,13,16,26,63,0.413,6,19,0.316,20,44,0.455,0.46,7,12,0.583,10,19,29,12,5,6,12,23
duke,ACC,4,11/17/23,,Bucknell,REG (Non-Conf),W,90,60,,32,65,0.492,13,34,0.382,19,31,0.613,0.592,13,16,0.813,12,33,45,23,9,2,7,15,20,54,0.37,9,29,0.31,11,25,0.44,0.454,11,15,0.733,4,20,24,13,3,3,12,14
duke,ACC,5,11/21/23,,La Salle,REG (Non-Conf),W,95,66,,36,67,0.537,9,22,0.409,27,45,0.6,0.604,14,20,0.7,9,30,39,21,4,3,5,18,24,58,0.414,6,24,0.25,18,34,0.529,0.466,12,17,0.706,3,20,23,11,3,1,9,16
duke,ACC,6,11/24/23,,Southern Indiana,REG (Non-Conf),W,80,62,,29,60,0.483,5,18,0.278,24,42,0.571,0.525,17,28,0.607,12,21,33,13,4,4,7,9,24,58,0.414,9,21,0.429,15,37,0.405,0.491,5,6,0.833,8,24,32,15,4,4,10,19
duke,ACC,7,11/29/23,@,Arkansas,REG (Non-Conf),L,75,80,,24,67,0.358,6,22,0.273,18,45,0.4,0.403,21,31,0.677,11,20,31,10,7,3,7,24,26,53,0.491,9,22,0.409,17,31,0.548,0.575,19,30,0.633,5,32,37,17,6,10,11,21
duke,ACC,8,12/2/23,@,Georgia Tech,REG (Conf),L,68,72,,26,62,0.419,4,16,0.25,22,46,0.478,0.452,12,20,0.6,11,19,30,12,8,6,6,15,27,53,0.509,7,23,0.304,20,30,0.667,0.575,11,13,0.846,4,27,31,19,1,8,11,12
duke,ACC,9,12/9/23,,Charlotte,REG (Non-Conf),W,80,56,,24,48,0.5,10,18,0.556,14,30,0.467,0.604,22,28,0.786,8,26,34,15,7,2,9,14,21,52,0.404,4,20,0.2,17,32,0.531,0.442,10,16,0.625,7,17,24,9,4,6,11,19
duke,ACC,10,12/12/23,,Hofstra,REG (Non-Conf),W,89,68,,33,60,0.55,11,22,0.5,22,38,0.579,0.642,12,14,0.857,8,23,31,22,6,3,10,11,25,50,0.5,10,24,0.417,15,26,0.577,0.6,8,10,0.8,2,20,22,13,3,6,14,12
duke,ACC,11,12/20/23,N,Baylor,REG (Non-Conf),W,78,70,,25,51,0.49,4,12,0.333,21,39,0.538,0.529,24,29,0.828,6,20,26,14,7,0,8,13,25,58,0.431,8,18,0.444,17,40,0.425,0.5,12,16,0.75,11,19,30,10,3,7,12,20
duke,ACC,12,12/30/23,,Queens (NC),REG (Non-Conf),W,106,69,,40,69,0.58,9,26,0.346,31,43,0.721,0.645,17,23,0.739,9,26,35,24,11,11,9,18,25,59,0.424,7,22,0.318,18,37,0.486,0.483,12,19,0.632,9,20,29,11,7,2,19,20
duke,ACC,13,1/2/24,,Syracuse,REG (Conf),W,86,66,,31,59,0.525,8,17,0.471,23,42,0.548,0.593,16,18,0.889,3,23,26,19,11,5,10,13,24,55,0.436,4,16,0.25,20,39,0.513,0.473,14,17,0.824,5,25,30,14,7,3,17,18
duke,ACC,14,1/6/24,@,Notre Dame,REG (Conf),W,67,59,,21,59,0.356,8,26,0.308,13,33,0.394,0.424,17,21,0.81,9,28,37,10,9,4,11,14,23,59,0.39,5,19,0.263,18,40,0.45,0.432,8,16,0.5,10,27,37,5,7,5,13,22
duke,ACC,15,1/9/24,@,Pittsburgh,REG (Conf),W,75,53,,29,56,0.518,11,25,0.44,18,31,0.581,0.616,6,9,0.667,11,28,39,19,5,5,14,14,19,58,0.328,9,27,0.333,10,31,0.323,0.405,6,7,0.857,9,14,23,10,13,4,10,11
duke,ACC,16,1/13/24,,Georgia Tech,REG (Conf),W,84,79,,27,63,0.429,10,21,0.476,17,42,0.405,0.508,20,28,0.714,11,21,32,16,6,4,4,15,30,55,0.545,11,20,0.55,19,35,0.543,0.645,8,12,0.667,5,28,33,17,3,8,14,21
duke,ACC,17,1/20/24,,Pittsburgh,REG (Conf),L,76,80,,22,49,0.449,11,28,0.393,11,21,0.524,0.561,21,28,0.75,4,21,25,11,6,3,11,16,30,59,0.508,10,20,0.5,20,39,0.513,0.593,10,16,0.625,7,22,29,13,5,6,8,20
duke,ACC,18,1/23/24,@,Louisville,REG (Conf),W,83,69,,29,63,0.46,9,25,0.36,20,38,0.526,0.532,16,22,0.727,14,27,41,15,6,3,9,22,24,52,0.462,5,17,0.294,19,35,0.543,0.51,16,24,0.667,5,21,26,9,4,1,10,19
duke,ACC,19,1/27/24,,Clemson,REG (Conf),W,72,71,,21,51,0.412,9,21,0.429,12,30,0.4,0.5,21,33,0.636,4,27,31,8,7,4,7,17,23,60,0.383,7,23,0.304,16,37,0.432,0.442,18,22,0.818,8,31,39,14,3,2,9,20
duke,ACC,20,1/29/24,@,Virginia Tech,REG (Conf),W,77,67,,31,56,0.554,9,17,0.529,22,39,0.564,0.634,6,10,0.6,8,27,35,19,1,3,14,18,26,58,0.448,6,22,0.273,20,36,0.556,0.5,9,12,0.75,3,16,19,15,4,3,4,10
duke,ACC,21,2/3/24,@,North Carolina,REG (Conf),L,84,93,,35,69,0.507,5,19,0.263,30,50,0.6,0.543,9,11,0.818,7,26,33,8,4,3,10,18,33,66,0.5,9,24,0.375,24,42,0.571,0.568,18,25,0.72,9,25,34,19,9,3,5,12
duke,ACC,22,2/7/24,,Notre Dame,REG (Conf),W,71,53,,26,60,0.433,4,18,0.222,22,42,0.524,0.467,15,25,0.6,13,26,39,13,10,6,9,11,20,59,0.339,7,27,0.259,13,32,0.406,0.398,6,9,0.667,11,22,33,9,2,6,14,17
duke,ACC,23,2/10/24,,Boston College,REG (Conf),W,80,65,,30,63,0.476,10,30,0.333,20,33,0.606,0.556,10,13,0.769,7,28,35,19,4,1,7,12,24,59,0.407,5,26,0.192,19,33,0.576,0.449,12,16,0.75,7,23,30,15,6,5,8,16
duke,ACC,24,2/12/24,,Wake Forest,REG (Conf),W,77,69,,26,55,0.473,7,25,0.28,19,30,0.633,0.536,18,25,0.72,7,30,37,14,4,4,13,17,27,69,0.391,6,26,0.231,21,43,0.488,0.435,9,13,0.692,13,22,35,11,9,4,8,21
duke,ACC,25,2/17/24,@,Florida State,REG (Conf),W,76,67,,26,56,0.464,10,16,0.625,16,40,0.4,0.554,14,20,0.7,9,19,28,11,8,1,17,13,28,57,0.491,4,14,0.286,24,43,0.558,0.526,7,11,0.636,8,17,25,11,9,9,14,17
duke,ACC,26,2/21/24,@,Miami (FL),REG (Conf),W,84,55,,28,55,0.509,13,29,0.448,15,26,0.577,0.627,15,21,0.714,15,27,42,19,4,4,10,18,19,61,0.311,6,25,0.24,13,36,0.361,0.361,11,14,0.786,15,13,28,11,6,0,8,10
duke,ACC,27,2/24/24,@,Wake Forest,REG (Conf),L,79,83,,26,49,0.531,11,25,0.44,15,24,0.625,0.643,16,20,0.8,8,19,27,12,4,2,10,20,29,48,0.604,9,17,0.529,20,31,0.645,0.698,16,22,0.727,2,13,15,14,5,0,6,12
duke,ACC,28,2/28/24,,Louisville,REG (Conf),W,84,59,,32,57,0.561,11,22,0.5,21,35,0.6,0.658,9,16,0.563,12,30,42,23,8,2,14,19,23,56,0.411,3,17,0.176,20,39,0.513,0.438,10,19,0.526,8,16,24,11,7,1,9,14
duke,ACC,29,3/2/24,,Virginia,REG (Conf),W,73,48,,30,61,0.492,6,19,0.316,24,42,0.571,0.541,7,10,0.7,10,26,36,17,8,4,9,11,17,55,0.309,5,17,0.294,12,38,0.316,0.355,9,13,0.692,9,19,28,12,3,7,11,9
