Team,Conference,Gtm,Date,Location,Opp,Type,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
duke,ACC,1,2020-11-28,,Coppin State,REG (Non-Conf),W,81,71,,34,64,0.531,9,27,0.333,25,37,0.676,0.602,4,10,0.400,14,36,50,20,6,7,21,19,23,70,0.329,10,35,0.286,13,35,0.371,0.400,15,21,0.714,11,19,30,7,12,2,8,12
duke,ACC,2,2020-12-01,,Michigan State,REG (Non-Conf),L,69,75,,20,62,0.323,5,23,0.217,15,39,0.385,0.363,24,30,0.800,9,27,36,9,9,2,12,22,27,63,0.429,5,20,0.250,22,43,0.512,0.468,16,25,0.640,12,34,46,9,6,3,15,22
duke,ACC,3,2020-12-04,,Bellarmine,REG (Non-Conf),W,76,54,,29,56,0.518,13,26,0.500,16,30,0.533,0.634,5,8,0.625,9,27,36,20,12,8,18,17,23,53,0.434,3,9,0.333,20,44,0.455,0.462,5,12,0.417,6,19,25,13,4,0,18,12
duke,ACC,4,2020-12-08,,Illinois,REG (Non-Conf),L,68,83,,27,67,0.403,5,22,0.227,22,45,0.489,0.440,9,16,0.563,10,21,31,14,8,5,12,19,29,50,0.580,7,11,0.636,22,39,0.564,0.650,18,24,0.750,3,32,35,13,7,5,18,20
duke,ACC,5,2020-12-16,@,Notre Dame,REG (Conf),W,75,65,,31,60,0.517,8,15,0.533,23,45,0.511,0.583,5,5,1.000,7,23,30,11,8,2,8,13,23,49,0.469,9,21,0.429,14,28,0.500,0.561,10,11,0.909,3,20,23,12,4,4,12,11
duke,ACC,6,2021-01-06,,Boston College,REG (Conf),W,83,82,,30,67,0.448,8,22,0.364,22,45,0.489,0.507,15,25,0.600,17,17,34,16,14,4,13,17,32,57,0.561,9,16,0.563,23,41,0.561,0.640,9,13,0.692,10,23,33,15,6,7,21,18
duke,ACC,7,2021-01-09,,Wake Forest,REG (Conf),W,79,68,,31,61,0.508,9,27,0.333,22,34,0.647,0.582,8,10,0.800,14,19,33,17,10,4,14,16,22,48,0.458,6,20,0.300,16,28,0.571,0.521,18,21,0.857,6,17,23,8,7,2,15,16
duke,ACC,8,2021-01-12,@,Virginia Tech,REG (Conf),L,67,74,,24,60,0.400,8,29,0.276,16,31,0.516,0.467,11,15,0.733,6,23,29,11,6,5,11,20,28,56,0.500,6,14,0.429,22,42,0.524,0.554,12,19,0.632,5,27,32,16,3,5,10,16
duke,ACC,9,2021-01-19,@,Pittsburgh,REG (Conf),L,73,79,,27,70,0.386,8,28,0.286,19,42,0.452,0.443,11,19,0.579,14,28,42,20,8,5,11,24,24,52,0.462,7,20,0.350,17,32,0.531,0.529,24,37,0.649,7,32,39,21,6,7,12,15
duke,ACC,10,2021-01-23,@,Louisville,REG (Conf),L,65,70,,25,54,0.463,8,25,0.320,17,29,0.586,0.537,7,9,0.778,6,19,25,7,4,1,15,23,23,50,0.460,6,16,0.375,17,34,0.500,0.520,18,24,0.750,9,24,33,12,6,2,13,15
