Team,Conference,Gtm,Date,Location,Opp,Type,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
duke,ACC,1,11/7/22,,Jacksonville,REG (Non-Conf),W,71,44,,27,59,0.458,10,29,0.345,17,30,0.567,0.542,7,11,0.636,15,27,42,19,6,3,12,12,18,53,0.34,3,23,0.13,15,30,0.5,0.368,5,5,1,6,17,23,12,5,3,11,18
duke,ACC,2,11/11/22,,USC Upstate,REG (Non-Conf),W,84,38,,30,68,0.441,7,21,0.333,23,47,0.489,0.493,17,26,0.654,17,31,48,16,15,7,11,12,15,54,0.278,7,23,0.304,8,31,0.258,0.343,1,2,0.5,7,19,26,6,6,6,22,21
duke,ACC,3,11/15/22,N,Kansas,REG (Non-Conf),L,64,69,,24,67,0.358,3,21,0.143,21,46,0.457,0.381,13,16,0.813,16,22,38,8,3,2,18,16,31,67,0.463,3,19,0.158,28,48,0.583,0.485,4,7,0.571,12,22,34,21,5,13,15,18
duke,ACC,4,11/18/22,,Delaware,REG (Non-Conf),W,92,58,,34,68,0.5,6,14,0.429,28,54,0.519,0.544,18,21,0.857,14,30,44,18,8,5,10,16,21,55,0.382,5,22,0.227,16,33,0.485,0.427,11,17,0.647,4,18,22,9,5,4,14,17
duke,ACC,5,11/21/22,,Bellarmine,REG (Non-Conf),W,74,57,,25,55,0.455,14,35,0.4,11,20,0.55,0.582,10,11,0.909,11,24,35,18,2,4,8,14,23,54,0.426,6,17,0.353,17,37,0.459,0.481,5,6,0.833,5,15,20,12,4,0,7,15
duke,ACC,6,11/24/22,N,Oregon State,REG (Non-Conf),W,54,51,,16,60,0.267,5,29,0.172,11,31,0.355,0.308,17,21,0.81,18,23,41,9,5,2,7,17,17,43,0.395,6,21,0.286,11,22,0.5,0.465,11,14,0.786,5,18,23,5,2,4,11,20
duke,ACC,7,11/25/22,N,Xavier,REG (Non-Conf),W,71,64,,27,54,0.5,5,11,0.455,22,43,0.512,0.546,12,19,0.632,8,21,29,9,9,4,11,17,20,52,0.385,7,17,0.412,13,35,0.371,0.452,17,19,0.895,8,21,29,9,5,0,15,18
duke,ACC,8,11/27/22,N,Purdue,REG (Non-Conf),L,56,75,,21,58,0.362,2,19,0.105,19,39,0.487,0.379,12,17,0.706,10,18,28,8,5,3,10,19,26,58,0.448,7,18,0.389,19,40,0.475,0.509,16,19,0.842,14,27,41,17,7,3,11,16
duke,ACC,9,11/30/22,,Ohio State,REG (Non-Conf),W,81,72,,25,55,0.455,5,13,0.385,20,42,0.476,0.5,26,30,0.867,12,20,32,16,9,3,13,20,26,55,0.473,3,13,0.231,23,42,0.548,0.5,17,22,0.773,11,19,30,6,4,4,16,25
duke,ACC,10,12/3/22,,Boston College,REG (Conf),W,75,59,,28,53,0.528,8,20,0.4,20,33,0.606,0.604,11,13,0.846,7,25,32,19,4,7,10,13,24,64,0.375,5,22,0.227,19,42,0.452,0.414,6,9,0.667,12,18,30,7,5,2,7,14
duke,ACC,11,12/6/22,N,Iowa,REG (Non-Conf),W,74,62,,28,63,0.444,7,20,0.35,21,43,0.488,0.5,11,14,0.786,10,33,43,14,3,7,7,14,25,63,0.397,3,16,0.188,22,47,0.468,0.421,9,15,0.6,7,20,27,11,3,3,7,15
duke,ACC,12,12/10/22,,Maryland Eastern Shore,REG (Non-Conf),W,82,55,,31,60,0.517,8,20,0.4,23,40,0.575,0.583,12,13,0.923,14,26,40,18,10,7,19,7,22,56,0.393,9,25,0.36,13,31,0.419,0.473,2,2,1,3,12,15,16,14,0,17,17
duke,ACC,13,12/20/22,@,Wake Forest,REG (Conf),L,70,81,,26,59,0.441,8,27,0.296,18,32,0.563,0.508,10,14,0.714,7,21,28,14,9,2,13,19,26,53,0.491,7,19,0.368,19,34,0.559,0.557,22,26,0.846,8,27,35,13,5,3,14,14
duke,ACC,14,12/31/22,,Florida State,REG (Conf),W,86,67,,29,57,0.509,11,25,0.44,18,32,0.563,0.605,17,20,0.85,9,18,27,18,2,4,9,21,21,49,0.429,4,15,0.267,17,34,0.5,0.469,21,26,0.808,4,19,23,11,7,2,10,19
