Team,Conference,Gtm,Date,Location,Opp,Type,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
duke,ACC,1.0,2019-11-05,N,Kansas,REG (Non-Conf),W,68,66,,23,64,0.359,8,24,0.333,15,40,0.375,0.422,14,23,0.609,11,19,30,12,11,3,16,17,23,50,0.46,4,9,0.444,19,41,0.463,0.5,16,26,0.615,10,30,40,13,11,5,26,20
duke,ACC,2.0,2019-11-08,,Colorado State,REG (Non-Conf),W,89,55,,37,69,0.536,4,22,0.182,33,47,0.702,0.565,11,18,0.611,8,32,40,14,12,6,9,19,18,55,0.327,5,21,0.238,13,34,0.382,0.373,14,22,0.636,6,26,32,5,5,0,17,17
duke,ACC,3.0,2019-11-12,,Central Arkansas,REG (Non-Conf),W,105,54,,42,74,0.568,9,18,0.5,33,56,0.589,0.628,12,14,0.857,10,32,42,18,14,7,12,21,18,51,0.353,3,15,0.2,15,36,0.417,0.382,15,24,0.625,4,22,26,8,4,4,21,17
duke,ACC,4.0,2019-11-15,,Georgia State,REG (Non-Conf),W,74,63,,25,73,0.342,7,28,0.25,18,45,0.4,0.39,17,29,0.586,26,28,54,13,10,6,15,12,25,60,0.417,5,12,0.417,20,48,0.417,0.458,8,11,0.727,5,24,29,12,11,9,16,24
duke,ACC,5.0,2019-11-21,N,California,REG (Non-Conf),W,87,52,,27,65,0.415,10,27,0.37,17,38,0.447,0.492,23,31,0.742,21,27,48,16,5,6,9,16,19,52,0.365,4,10,0.4,15,42,0.357,0.404,10,14,0.714,7,19,26,9,3,3,13,27
duke,ACC,6.0,2019-11-22,N,Georgetown,REG (Non-Conf),W,81,73,,27,65,0.415,6,13,0.462,21,52,0.404,0.462,21,29,0.724,15,19,34,15,8,4,21,21,28,55,0.509,6,16,0.375,22,39,0.564,0.564,11,18,0.611,5,21,26,16,9,12,24,30
duke,ACC,7.0,2019-11-26,,Stephen F. Austin,REG (Non-Conf),L,83,85,OT,27,54,0.5,5,15,0.333,22,39,0.564,0.546,24,40,0.6,10,25,35,21,8,14,20,18,36,74,0.486,2,10,0.2,34,64,0.531,0.5,11,17,0.647,8,20,28,17,13,2,14,29
duke,ACC,8.0,2019-11-29,,Winthrop,REG (Non-Conf),W,83,70,,30,57,0.526,7,12,0.583,23,45,0.511,0.588,16,22,0.727,8,26,34,15,9,4,16,15,29,66,0.439,6,21,0.286,23,45,0.511,0.485,6,13,0.462,11,20,31,14,7,2,13,19
duke,ACC,9.0,2019-12-03,@,Michigan State,REG (Non-Conf),W,87,75,,32,57,0.561,7,15,0.467,25,42,0.595,0.623,16,22,0.727,6,27,33,22,10,11,14,21,28,62,0.452,4,16,0.25,24,46,0.522,0.484,15,23,0.652,10,21,31,21,7,6,14,15
duke,ACC,10.0,2019-12-06,@,Virginia Tech,REG (Conf),W,77,63,,30,63,0.476,7,26,0.269,23,37,0.622,0.532,10,10,1.0,8,24,32,14,8,4,7,11,27,56,0.482,5,20,0.25,22,36,0.611,0.527,4,6,0.667,7,24,31,12,2,2,14,6
duke,ACC,11.0,2019-12-19,,Wofford,REG (Non-Conf),W,86,57,,32,59,0.542,8,20,0.4,24,39,0.615,0.61,14,18,0.778,15,27,42,19,4,6,8,13,22,62,0.355,10,24,0.417,12,38,0.316,0.435,3,5,0.6,9,12,21,11,4,0,7,19
duke,ACC,12.0,2019-12-28,,Brown,REG (Non-Conf),W,75,50,,30,68,0.441,2,16,0.125,28,52,0.538,0.456,13,16,0.813,14,24,38,15,13,9,11,16,18,53,0.34,6,19,0.316,12,34,0.353,0.396,8,18,0.444,9,20,29,11,5,2,17,18
duke,ACC,13.0,2019-12-31,,Boston College,REG (Conf),W,88,49,,35,68,0.515,12,28,0.429,23,40,0.575,0.603,6,9,0.667,12,30,42,20,9,7,14,14,21,62,0.339,3,18,0.167,18,44,0.409,0.363,4,11,0.364,10,17,27,8,10,4,19,12
duke,ACC,14.0,2020-01-04,@,Miami (FL),REG (Conf),W,95,62,,40,67,0.597,6,14,0.429,34,53,0.642,0.642,9,14,0.643,12,26,38,23,9,5,14,16,23,58,0.397,2,12,0.167,21,46,0.457,0.414,14,18,0.778,6,13,19,6,7,3,15,13
duke,ACC,15.0,2020-01-08,@,Georgia Tech,REG (Conf),W,73,64,,28,54,0.519,6,12,0.5,22,42,0.524,0.574,11,21,0.524,7,20,27,13,8,7,13,17,23,64,0.359,5,16,0.313,18,48,0.375,0.398,13,15,0.867,13,22,35,13,8,7,15,18
duke,ACC,16.0,2020-01-11,,Wake Forest,REG (Conf),W,90,59,,33,62,0.532,11,23,0.478,22,39,0.564,0.621,13,25,0.52,13,21,34,20,11,8,9,16,23,55,0.418,4,13,0.308,19,42,0.452,0.455,9,16,0.563,7,21,28,8,6,0,16,18
duke,ACC,17.0,2020-01-14,@,Clemson,REG (Conf),L,72,79,,27,54,0.5,8,20,0.4,19,34,0.559,0.574,10,20,0.5,4,23,27,13,10,2,15,20,30,53,0.566,8,19,0.421,22,34,0.647,0.642,11,22,0.5,6,25,31,18,9,4,15,16
duke,ACC,18.0,2020-01-18,,Louisville,REG (Conf),L,73,79,,23,62,0.371,6,25,0.24,17,37,0.459,0.419,21,29,0.724,11,22,33,11,13,6,16,18,29,60,0.483,7,14,0.5,22,46,0.478,0.542,14,17,0.824,7,27,34,16,13,6,17,23
duke,ACC,19.0,2020-01-21,,Miami (FL),REG (Conf),W,89,59,,34,64,0.531,11,25,0.44,23,39,0.59,0.617,10,13,0.769,9,28,37,18,5,7,10,20,18,60,0.3,4,18,0.222,14,42,0.333,0.333,19,22,0.864,11,22,33,6,7,1,13,10
duke,ACC,20.0,2020-01-28,,Pittsburgh,REG (Conf),W,79,67,,30,62,0.484,9,26,0.346,21,36,0.583,0.556,10,15,0.667,13,22,35,19,3,5,8,16,25,57,0.439,4,12,0.333,21,45,0.467,0.474,13,16,0.813,8,21,29,12,4,1,9,15
duke,ACC,21.0,2020-02-01,@,Syracuse,REG (Conf),W,97,88,,31,54,0.574,6,17,0.353,25,37,0.676,0.63,29,33,0.879,10,26,36,19,6,5,18,29,27,70,0.386,6,26,0.231,21,44,0.477,0.429,28,37,0.757,15,13,28,13,8,4,10,25
duke,ACC,22.0,2020-02-04,@,Boston College,REG (Conf),W,63,55,,23,61,0.377,1,15,0.067,22,46,0.478,0.385,16,20,0.8,11,27,38,10,6,2,10,15,22,59,0.373,2,18,0.111,20,41,0.488,0.39,9,12,0.75,11,29,40,7,5,3,17,17
duke,ACC,23.0,2020-02-08,@,North Carolina,REG (Conf),W,98,96,OT,34,80,0.425,4,18,0.222,30,62,0.484,0.45,26,34,0.765,13,27,40,15,12,2,11,27,36,69,0.522,3,12,0.25,33,57,0.579,0.543,21,38,0.553,11,34,45,23,8,5,18,27
duke,ACC,24.0,2020-02-10,,Florida State,REG (Conf),W,70,65,,23,51,0.451,7,17,0.412,16,34,0.471,0.52,17,22,0.773,9,27,36,13,6,5,21,17,25,66,0.379,3,18,0.167,22,48,0.458,0.402,12,20,0.6,15,17,32,7,16,7,12,18
duke,ACC,25.0,2020-02-15,,Notre Dame,REG (Conf),W,94,60,,39,69,0.565,10,22,0.455,29,47,0.617,0.638,6,7,0.857,5,32,37,19,11,6,9,15,23,63,0.365,5,21,0.238,18,42,0.429,0.405,9,12,0.75,7,21,28,14,5,2,14,11
duke,ACC,26.0,2020-02-19,@,NC State,REG (Conf),L,66,88,,26,69,0.377,4,17,0.235,22,52,0.423,0.406,10,22,0.455,15,26,41,6,4,5,13,19,32,71,0.451,8,13,0.615,24,58,0.414,0.507,16,21,0.762,11,32,43,10,7,3,9,20
duke,ACC,27.0,2020-02-22,,Virginia Tech,REG (Conf),W,88,64,,27,62,0.435,11,26,0.423,16,36,0.444,0.524,23,31,0.742,11,33,44,14,4,9,9,13,25,67,0.373,8,24,0.333,17,43,0.395,0.433,6,7,0.857,5,25,30,13,5,3,8,21
duke,ACC,28.0,2020-02-25,@,Wake Forest,REG (Conf),L,101,113,2OT,32,75,0.427,6,23,0.261,26,52,0.5,0.467,31,34,0.912,9,27,36,15,7,6,16,34,35,68,0.515,6,11,0.545,29,57,0.509,0.559,37,50,0.74,8,28,36,14,9,4,12,25
duke,ACC,29.0,2020-02-29,@,Virginia,REG (Conf),L,50,52,,18,59,0.305,4,17,0.235,14,42,0.333,0.339,10,15,0.667,10,20,30,4,8,7,8,18,21,50,0.42,3,10,0.3,18,40,0.45,0.45,7,10,0.7,5,26,31,9,6,13,14,16
duke,ACC,30.0,2020-03-02,,NC State,REG (Conf),W,88,69,,30,63,0.476,5,15,0.333,25,48,0.521,0.516,23,27,0.852,13,29,42,14,8,6,12,18,26,60,0.433,5,21,0.238,21,39,0.538,0.475,12,19,0.632,7,17,24,14,7,3,11,20
duke,ACC,31.0,2020-03-07,,North Carolina,REG (Conf),W,89,76,,25,53,0.472,10,21,0.476,15,32,0.469,0.566,29,33,0.879,10,25,35,19,6,8,12,15,29,71,0.408,4,12,0.333,25,59,0.424,0.437,14,20,0.7,17,19,36,7,4,1,9,22
duke,ACC,,,,,,25-6,2558,2107,,920,1957,0.47,217,617,0.352,703,1340,0.525,0.526,501,696,0.72,349,801,1150,479,258,188,396,557,784,1879,0.417,150,501,0.299,634,1378,0.46,0.457,389,580,0.671,271,688,959,367,225,121,449,588
louisville,ACC,1.0,2019-11-05,@,Miami (FL),REG (Conf),W,87,74,,34,63,0.54,9,19,0.474,25,44,0.568,0.611,10,14,0.714,10,28,38,14,8,4,12,17,30,69,0.435,10,24,0.417,20,45,0.444,0.507,4,11,0.364,11,19,30,12,6,4,10,13
louisville,ACC,2.0,2019-11-10,,Youngstown State,REG (Non-Conf),W,78,55,,33,65,0.508,7,22,0.318,26,43,0.605,0.562,5,6,0.833,6,32,38,22,3,5,6,11,21,67,0.313,5,27,0.185,16,40,0.4,0.351,8,16,0.5,17,25,42,5,4,1,11,13
louisville,ACC,3.0,2019-11-13,,Indiana State,REG (Non-Conf),W,91,62,,31,53,0.585,9,17,0.529,22,36,0.611,0.67,20,25,0.8,11,31,42,16,3,3,15,20,19,56,0.339,10,26,0.385,9,30,0.3,0.429,14,17,0.824,8,13,21,10,7,1,10,20
louisville,ACC,4.0,2019-11-17,,North Carolina Central,REG (Non-Conf),W,87,58,,30,45,0.667,10,21,0.476,20,24,0.833,0.778,17,25,0.68,5,25,30,20,3,2,11,22,19,57,0.333,6,26,0.231,13,31,0.419,0.386,14,25,0.56,13,12,25,9,5,0,8,22
louisville,ACC,5.0,2019-11-20,,USC Upstate,REG (Non-Conf),W,76,50,,29,57,0.509,9,21,0.429,20,36,0.556,0.588,9,12,0.75,11,28,39,22,6,1,11,11,16,49,0.327,9,24,0.375,7,25,0.28,0.418,9,11,0.818,4,15,19,8,7,0,12,12
