Team,Conference,Gtm,Date,Location,Opp,Type,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
clemson,ACC,5,11/21/24,,Radford,REG (Non-Conf),W,79,51,,25,49,0.51,11,23,0.478,14,26,0.538,0.622,18,22,0.818,6,29,35,12,5,4,11,18,17,55,0.309,4,20,0.2,13,35,0.371,0.345,13,19,0.684,9,19,28,2,9,1,11,22
clemson,ACC,6,11/25/24,N,San Francisco,REG (Non-Conf),W,70,55,,28,58,0.483,7,17,0.412,21,41,0.512,0.543,7,10,0.7,13,24,37,14,7,2,12,14,20,51,0.392,8,24,0.333,12,27,0.444,0.471,7,7,1,5,16,21,12,5,0,13,15
clemson,ACC,7,11/26/24,N,Penn State,REG (Non-Conf),W,75,67,,25,57,0.439,9,19,0.474,16,38,0.421,0.518,16,20,0.8,9,22,31,17,7,3,13,15,26,56,0.464,4,18,0.222,22,38,0.579,0.5,11,15,0.733,6,22,28,18,5,5,16,19
clemson,ACC,8,11/29/24,,Florida A&M,REG (Non-Conf),W,86,58,,30,60,0.5,9,25,0.36,21,35,0.6,0.575,17,20,0.85,12,27,39,15,9,1,9,9,23,55,0.418,11,26,0.423,12,29,0.414,0.518,1,6,0.167,7,15,22,11,7,1,14,16
clemson,ACC,9,12/3/24,,Kentucky,REG (Non-Conf),W,70,66,,24,65,0.369,8,25,0.32,16,40,0.4,0.431,14,19,0.737,14,28,42,13,6,9,7,15,24,63,0.381,7,27,0.259,17,36,0.472,0.437,11,18,0.611,10,25,35,11,6,6,12,20
clemson,ACC,10,12/7/24,@,Miami (FL),REG (Conf),W,65,55,,23,58,0.397,9,27,0.333,14,31,0.452,0.474,10,12,0.833,10,20,30,10,4,3,7,12,23,56,0.411,4,25,0.16,19,31,0.613,0.446,5,6,0.833,11,23,34,5,3,2,11,11
clemson,ACC,11,12/14/24,,Memphis,REG (Non-Conf),L,82,87,OT,30,67,0.448,10,31,0.323,20,36,0.556,0.522,12,15,0.8,10,19,29,16,6,3,13,16,31,60,0.517,12,25,0.48,19,35,0.543,0.617,13,17,0.765,10,20,30,17,7,5,14,16
clemson,ACC,12,12/17/24,@,South Carolina,REG (Non-Conf),L,88,91,OT,30,64,0.469,9,21,0.429,21,43,0.488,0.539,19,21,0.905,8,19,27,13,7,2,10,23,30,58,0.517,7,17,0.412,23,41,0.561,0.578,24,34,0.706,10,22,32,16,4,4,11,21
clemson,ACC,13,12/21/24,,Wake Forest,REG (Conf),W,73,62,,24,61,0.393,10,31,0.323,14,30,0.467,0.475,15,16,0.938,7,21,28,17,11,3,12,12,25,50,0.5,3,13,0.231,22,37,0.595,0.53,9,12,0.75,4,26,30,5,10,1,18,17
clemson,ACC,14,1/1/25,,Stanford,REG (Conf),W,85,71,,28,58,0.483,8,19,0.421,20,39,0.513,0.552,21,24,0.875,8,20,28,14,16,6,10,14,27,61,0.443,6,20,0.3,21,41,0.512,0.492,11,12,0.917,10,21,31,8,6,4,17,20
clemson,ACC,15,1/4/25,,California,REG (Conf),W,80,68,,31,50,0.62,8,18,0.444,23,32,0.719,0.7,10,12,0.833,7,24,31,18,5,3,12,16,26,57,0.456,6,17,0.353,20,40,0.5,0.509,10,16,0.625,7,13,20,6,5,0,6,14
clemson,ACC,16,1/7/25,@,Louisville,REG (Conf),L,64,74,,26,65,0.4,8,24,0.333,18,41,0.439,0.462,4,5,0.8,14,21,35,11,6,2,13,16,25,55,0.455,8,27,0.296,17,28,0.607,0.527,16,20,0.8,9,23,32,13,7,3,11,13
clemson,ACC,17,1/11/25,,Florida State,REG (Conf),W,77,57,,28,58,0.483,13,28,0.464,15,30,0.5,0.595,8,10,0.8,7,19,26,16,5,3,10,16,21,49,0.429,4,16,0.25,17,33,0.515,0.469,11,15,0.733,7,20,27,10,6,4,9,14
clemson,ACC,18,1/14/25,@,Georgia Tech,REG (Conf),W,70,59,,23,52,0.442,8,23,0.348,15,29,0.517,0.519,16,20,0.8,4,27,31,16,8,4,9,18,19,54,0.352,7,20,0.35,12,34,0.353,0.417,14,19,0.737,9,23,32,10,6,2,13,17
clemson,ACC,19,1/18/25,@,Pittsburgh,REG (Conf),W,78,75,OT,27,53,0.509,14,27,0.519,13,26,0.5,0.642,10,14,0.714,8,20,28,16,5,2,10,12,28,62,0.452,11,34,0.324,17,28,0.607,0.54,8,10,0.8,12,15,27,17,8,4,9,13
clemson,ACC,20,1/22/25,,Syracuse,REG (Conf),W,86,72,,31,55,0.564,9,20,0.45,22,35,0.629,0.645,15,21,0.714,8,19,27,17,10,2,7,7,28,52,0.538,11,21,0.524,17,31,0.548,0.644,5,6,0.833,5,18,23,8,4,2,11,16
