Team,Conference,Gtm,Date,Location,Opp,Type,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
southern-methodist,ACC,13,2019-01-02,,East Carolina,REG (Conf),W,82,54,,29,59,0.492,7,21,0.333,22,38,0.579,0.551,17,24,0.708,13,29,42,19,8,5,15,20,19,56,0.339,3,15,0.200,16,41,0.390,0.366,13,22,0.591,8,18,26,10,8,3,14,23
southern-methodist,ACC,14,2019-01-04,@,Tulane,REG (Conf),W,74,65,,24,60,0.400,7,19,0.368,17,41,0.415,0.458,19,26,0.731,11,22,33,14,6,5,11,18,22,64,0.344,6,28,0.214,16,36,0.444,0.391,15,19,0.789,11,27,38,12,4,2,11,19
southern-methodist,ACC,15,2019-01-10,@,Connecticut,REG (Conf),L,64,76,,23,66,0.348,3,23,0.130,20,43,0.465,0.371,15,16,0.938,15,15,30,8,8,1,9,22,22,42,0.524,9,19,0.474,13,23,0.565,0.631,23,31,0.742,6,18,24,9,3,3,10,16
southern-methodist,ACC,16,2019-01-12,,Tulsa,REG (Conf),W,77,57,,25,61,0.410,13,32,0.406,12,29,0.414,0.516,14,16,0.875,14,27,41,16,5,6,11,13,20,56,0.357,7,22,0.318,13,34,0.382,0.420,10,12,0.833,5,21,26,13,4,4,13,14
southern-methodist,ACC,17,2019-01-16,,Houston,REG (Conf),L,58,69,,21,55,0.382,5,24,0.208,16,31,0.516,0.427,11,12,0.917,10,22,32,11,0,2,8,16,25,55,0.455,9,22,0.409,16,33,0.485,0.536,10,14,0.714,7,21,28,14,4,3,4,15
southern-methodist,ACC,18,2019-01-19,@,Memphis,REG (Conf),L,61,83,,21,58,0.362,10,33,0.303,11,25,0.440,0.448,9,16,0.563,9,24,33,13,5,4,21,17,33,73,0.452,11,34,0.324,22,39,0.564,0.527,6,8,0.750,11,27,38,24,10,2,12,17
southern-methodist,ACC,19,2019-01-26,,Tulane,REG (Conf),W,85,75,,28,61,0.459,12,25,0.480,16,36,0.444,0.557,17,23,0.739,9,22,31,20,9,5,9,15,25,56,0.446,9,23,0.391,16,33,0.485,0.527,16,22,0.727,10,24,34,19,4,1,16,19
southern-methodist,ACC,20,2019-01-30,@,Wichita State,REG (Conf),L,83,85,,31,63,0.492,11,25,0.440,20,38,0.526,0.579,10,15,0.667,7,21,28,13,2,4,6,16,31,65,0.477,10,21,0.476,21,44,0.477,0.554,13,19,0.684,7,22,29,19,1,5,5,15
southern-methodist,ACC,21,2019-02-02,@,Cincinnati,REG (Conf),L,68,73,,26,60,0.433,10,28,0.357,16,32,0.500,0.517,6,11,0.545,8,19,27,12,3,3,9,17,26,54,0.481,10,26,0.385,16,28,0.571,0.574,11,18,0.611,9,24,33,16,2,1,11,10
southern-methodist,ACC,22,2019-02-07,,South Florida,REG (Conf),L,66,67,,24,56,0.429,6,21,0.286,18,35,0.514,0.482,12,16,0.750,11,20,31,17,4,7,10,11,26,55,0.473,11,25,0.440,15,30,0.500,0.573,4,5,0.800,7,18,25,17,7,4,12,17
southern-methodist,ACC,23,2019-02-10,,UCF,REG (Conf),L,65,71,,25,63,0.397,10,37,0.270,15,26,0.577,0.476,5,10,0.500,10,18,28,16,7,6,8,14,26,50,0.520,7,16,0.438,19,34,0.559,0.590,12,13,0.923,5,22,27,16,5,4,12,12
southern-methodist,ACC,24,2019-02-13,@,Temple,REG (Conf),L,74,82,,31,70,0.443,6,23,0.261,25,47,0.532,0.486,6,8,0.750,17,24,41,13,3,3,11,12,32,75,0.427,7,23,0.304,25,52,0.481,0.473,11,13,0.846,17,21,38,21,8,1,5,11
