date,game_id,team_a,team_b,chosen_side,chosen_team,chosen_odds,our_prob,implied_prob,edge,edge_bucket,odds_bucket,zone,flat_bet_amount,flat_profit,kelly_bet_amount,kelly_profit,bet_won,actual_winner,year
2021-01-23,abilene-christian_vs_central arkansas_20210123,Team A,Team B,A,,-947.0,0.911965,0.9044890162368673,0.007475983763132743,0.005-0.010,Heavy Favorite,heavy_favorite,100,10.559662090813093,782.7355000000026,82.6542238648366,True,A,2021
2021-02-24,abilene-christian_vs_sam houston state_20210224,Team A,Team B,A,,-393.0,0.8183717,0.7971602434077079,0.021211456592292177,0.020-0.025,Heavy Favorite,heavy_favorite,100,25.445292620865146,1054.3681672546784,268.28706545920573,True,A,2021
2021-03-12,abilene-christian_vs_lamar_20210312,Team A,Team B,A,,-828.0,0.9280605,0.8922413793103449,0.03581912068965509,0.035-0.040,Heavy Favorite,heavy_favorite,100,12.077294685990347,2587.7353223310106,312.5284205713783,True,A,2021
2020-11-29,air-force_vs_seattle_20201129,Team A,Team B,B,,123.0,0.4591967,0.4484304932735426,0.010766206726457395,0.010-0.015,Slight Underdog,slight_underdog,100,123.0,208.1426146985799,256.01541607925327,True,B,2021
2021-02-03,alabama_vs_louisiana state_20210203,Team A,Team B,A,,-400.0,0.82130027,0.8,0.02130027000000001,0.020-0.025,Heavy Favorite,heavy_favorite,100,25.0,1162.939907221226,290.7349768053065,True,A,2021
2021-03-12,alabama_vs_mississippi state_20210312,Team A,Team B,A,,-336.0,0.80348766,0.7706422018348624,0.03284545816513762,0.030-0.035,Heavy Favorite,heavy_favorite,100,29.761904761904766,1605.3729951782059,477.7895818982756,True,A,2021
2021-01-23,alabama-birmingham_vs_rice_20210123,Team A,Team B,A,,-475.0,0.832995,0.8260869565217391,0.006908043478260906,0.005-0.010,Heavy Favorite,heavy_favorite,100,21.052631578947366,464.26235468752856,97.73944309211127,True,A,2021
2021-02-05,alabama-birmingham_vs_utep_20210205,Team A,Team B,A,,-350.0,0.8227701,0.7777777777777778,0.04499232222222216,0.040-0.045,Heavy Favorite,heavy_favorite,100,28.57142857142856,2386.207000741129,681.7734287831794,True,A,2021
2021-03-11,alabama-birmingham_vs_rice_20210311,Team A,Team B,A,,-375.0,0.82874596,0.7894736842105263,0.039272275789473676,0.035-0.040,Heavy Favorite,heavy_favorite,100,26.66666666666666,2325.7329251991596,620.1954467197758,True,A,2021
2021-02-27,alabama-state_vs_texas southern_20210227,Team A,Team B,B,,-593.0,0.87318453,0.8556998556998557,0.01748467430014422,0.015-0.020,Heavy Favorite,heavy_favorite,100,16.863406408094427,1585.8229922722194,267.42377609986823,True,B,2021
2021-01-30,alcorn-state_vs_southern_20210130,Team A,Team B,A,,137.0,0.43946117,0.4219409282700422,0.01752024172995781,0.015-0.020,Slight Underdog,slight_underdog,100,-100.0,404.7775110807092,-404.7775110807092,False,B,2021
2021-02-06,alcorn-state_vs_jackson state_20210206,Team A,Team B,A,,154.0,0.41971534,0.3937007874015748,0.026014552598425167,0.025-0.030,Moderate Underdog,other,100,-100.0,555.662823612145,-555.662823612145,False,B,2021
2020-11-30,appalachian-state_vs_bowling green_20201130,Team A,Team B,A,,155.0,0.42025024,0.39215686274509803,0.028093377254901963,0.025-0.030,Moderate Underdog,other,100,-100.0,572.8600066455296,-572.8600066455296,False,B,2021
2021-01-28,arizona_vs_stanford_20210128,Team A,Team B,A,,-366.0,0.8266181,0.7854077253218884,0.041210374678111616,0.040-0.045,Heavy Favorite,heavy_favorite,100,-100.0,2270.270520117345,-2270.270520117345,False,B,2021
2021-01-30,arizona_vs_california_20210130,Team A,Team B,A,,-525.0,0.8639009,0.84,0.023900900000000003,0.020-0.025,Heavy Favorite,heavy_favorite,100,19.047619047619047,1426.8196334503323,271.77516827625374,True,A,2021
2021-02-25,arizona_vs_washington state_20210225,Team A,Team B,A,,-365.0,0.8262448,0.7849462365591398,0.04129856344086025,0.040-0.045,Heavy Favorite,heavy_favorite,100,27.397260273972602,1886.4588791712163,516.8380490880045,True,A,2021
2021-01-07,arizona-state_vs_ucla_20210107,Team A,Team B,A,,180.0,0.36076856,0.35714285714285715,0.003625702857142865,0.000-0.005,Moderate Underdog,other,100,-100.0,58.31845469749291,-58.31845469749291,False,B,2021
2021-01-28,arizona-state_vs_california_20210128,Team A,Team B,A,,-365.0,0.8069144,0.7849462365591398,0.021968163440860278,0.020-0.025,Heavy Favorite,heavy_favorite,100,27.397260273972602,1050.3127317284138,287.7569128023051,True,A,2021
2020-12-22,arkansas_vs_abilene christian_20201222,Team A,Team B,A,,-873.0,0.8994433,0.8972250770811921,0.0022182229188077995,0.000-0.005,Heavy Favorite,heavy_favorite,100,11.454753722794964,228.1274304464404,26.13143533178012,True,A,2021
2021-01-09,arkansas_vs_georgia_20210109,Team A,Team B,A,,-450.0,0.82039344,0.8181818181818182,0.002211621818181797,0.000-0.005,Heavy Favorite,heavy_favorite,100,22.222222222222232,128.8859043450133,28.641312076669635,True,A,2021
2021-02-02,arkansas_vs_mississippi state_20210202,Team A,Team B,A,,-304.0,0.79334086,0.7524752475247525,0.04086561247524756,0.040-0.045,Heavy Favorite,heavy_favorite,100,32.89473684210527,1754.0565880342447,576.9922986954753,True,A,2021
2021-03-21,arkansas_vs_texas tech_20210321,Team A,Team B,A,,117.0,0.4875695,0.4608294930875576,0.026740006912442382,0.025-0.030,Slight Underdog,slight_underdog,100,117.0,555.5296127456061,649.969646912359,True,A,2021
2021-01-15,arkansas-little-rock_vs_texas state_20210115,Team A,Team B,B,,196.0,0.34270734,0.33783783783783783,0.004869502162162198,0.000-0.005,Moderate Underdog,other,100,196.0,87.15419458921286,170.82222139485722,True,B,2021
2021-01-30,arkansas-state_vs_ut arlington_20210130,Team A,Team B,A,,145.0,0.41168982,0.40816326530612246,0.003526554693877526,0.000-0.005,Slight Underdog,slight_underdog,100,-100.0,71.63609672825098,-71.63609672825098,False,B,2021
2021-02-12,arkansas-state_vs_little rock_20210212,Team A,Team B,A,,145.0,0.41356868,0.40816326530612246,0.005405414693877564,0.005-0.010,Slight Underdog,slight_underdog,100,145.00000000000003,109.14774154299407,158.2642252373414,True,A,2021
2020-11-28,army_vs_buffalo_20201128,Team A,Team B,B,,-588.0,0.8704716100000001,0.8546511627906976,0.015820447209302424,0.015-0.020,Heavy Favorite,heavy_favorite,100,-100.0,1317.979253607185,-1317.979253607185,False,A,2021
2021-03-06,army_vs_american_20210306,Team A,Team B,B,,170.0,0.3905206,0.37037037037037035,0.020150229629629646,0.020-0.025,Moderate Underdog,other,100,-100.0,345.34218145551074,-345.34218145551074,False,A,2021
2021-03-10,army_vs_loyola (md)_20210310,Team A,Team B,B,,142.0,0.44114359999999997,0.4132231404958678,0.02792045950413219,0.025-0.030,Slight Underdog,slight_underdog,100,142.0,497.02501003407866,705.7755142483917,True,B,2021
2021-01-09,auburn_vs_alabama_20210109,Team A,Team B,A,,160.0,0.39114878,0.38461538461538464,0.006533395384615337,0.005-0.010,Moderate Underdog,other,100,-100.0,118.39035296503424,-118.39035296503424,False,B,2021
2021-01-26,auburn_vs_missouri_20210126,Team A,Team B,B,,135.0,0.43136275,0.425531914893617,0.005830835106382992,0.005-0.010,Slight Underdog,slight_underdog,100,-100.0,111.98333786100494,-111.98333786100494,False,A,2021
2021-02-02,auburn_vs_georgia_20210202,Team A,Team B,A,,-400.0,0.8273376,0.8,0.027337599999999962,0.025-0.030,Heavy Favorite,heavy_favorite,100,-100.0,1492.7543423156037,-1492.7543423156037,False,B,2021
2020-12-15,austin-peay_vs_florida a&m_20201215,Team A,Team B,A,,-979.0,0.922395,0.907321594068582,0.015073405931417927,0.015-0.020,Heavy Favorite,heavy_favorite,100,-100.0,1533.410989771577,-1533.410989771577,False,B,2021
2021-02-18,austin-peay_vs_siu edwardsville_20210218,Team A,Team B,A,,-850.0,0.9005234,0.8947368421052632,0.00578655789473681,0.005-0.010,Heavy Favorite,heavy_favorite,100,11.764705882352944,433.991064273273,51.057772267443895,True,A,2021
2021-03-04,austin-peay_vs_eastern kentucky_20210304,Team A,Team B,A,,123.0,0.45930526,0.4484304932735426,0.010874766726457374,0.010-0.015,Slight Underdog,slight_underdog,100,-100.0,156.6593293521261,-156.6593293521261,False,B,2021
2021-02-06,ball-state_vs_toledo_20210206,Team A,Team B,B,,-380.0,0.8172816199999999,0.7916666666666666,0.0256149533333333,0.025-0.030,Heavy Favorite,heavy_favorite,100,-100.0,957.6862770881884,-957.6862770881884,False,A,2021
2021-01-18,baylor_vs_kansas_20210118,Team A,Team B,A,,-420.0,0.823615,0.8076923076923077,0.015922692307692277,0.015-0.020,Heavy Favorite,heavy_favorite,100,23.809523809523814,565.629143406331,134.67360557293597,True,A,2021
2021-03-07,baylor_vs_texas tech_20210307,Team A,Team B,A,,-380.0,0.8343775,0.7916666666666666,0.042710833333333365,0.040-0.045,Heavy Favorite,heavy_favorite,100,26.315789473684205,1428.1358284173239,375.8252180045588,True,A,2021
2021-03-12,baylor_vs_oklahoma state_20210312,Team A,Team B,A,,-420.0,0.8191653,0.8076923076923077,0.011472992307692276,0.010-0.015,Heavy Favorite,heavy_favorite,100,-100.0,438.0165330163373,-438.0165330163373,False,B,2021
2021-03-21,baylor_vs_wisconsin_20210321,Team A,Team B,A,,-315.0,0.78767747,0.7590361445783133,0.028641325421686736,0.025-0.030,Heavy Favorite,heavy_favorite,100,31.746031746031743,820.609951653961,260.51109576316225,True,A,2021
2021-03-27,baylor_vs_villanova_20210327,Team A,Team B,A,,-350.0,0.81799906,0.7777777777777778,0.04022128222222221,0.040-0.045,Heavy Favorite,heavy_favorite,100,28.57142857142856,1296.7312067647765,370.4946305042217,True,A,2021
2021-04-03,baylor_vs_houston_20210403,Team A,Team B,B,,195.0,0.3552564,0.3389830508474576,0.016273349152542416,0.015-0.020,Moderate Underdog,other,100,-100.0,185.49967734319,-185.49967734319,False,A,2021
2021-04-05,baylor_vs_gonzaga_20210405,Team A,Team B,A,,175.0,0.402892,0.36363636363636365,0.039255636363636326,0.035-0.040,Moderate Underdog,other,100,175.0,453.3670185611453,793.3922824820042,True,A,2021
2021-01-09,bellarmine_vs_lipscomb_20210109,Team A,Team B,B,,124.0,0.45043049999999996,0.44642857142857145,0.0040019285714285036,0.000-0.005,Slight Underdog,slight_underdog,100,124.00000000000003,58.86677715082577,72.99480366702396,True,B,2021
2021-03-05,belmont_vs_jacksonville state_20210305,Team A,Team B,A,,-312.0,0.76374996,0.7572815533980582,0.006468406601941701,0.005-0.010,Heavy Favorite,heavy_favorite,100,32.05128205128205,218.94999010414895,70.17627887953492,True,A,2021
